,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
153,2022-05-25,,97.5,,,,
154,2022-06-08,,,,0.05,,
155,2022-06-17,53.22,,,,,
156,2022-06-18,,98.4,,,,
157,2022-06-19,51.98,,,,,
158,2022-06-29,,,,0.06,,
159,2022-07-07,53.22,,,,,
160,2022-07-11,,97.67,,,,
161,2022-07-15,51.66,,,,,
162,2022-07-17,53.22,,,,,
163,2022-07-22,,97.67,,,,
164,2022-07-24,53.22,,,,,
165,2022-08-04,,,,,,29.59
166,2022-08-10,53.22,,,,,
167,2022-08-12,,97.67,,,,
168,2022-08-19,53.22,,,,,
169,2022-08-28,53.22,,,,,
170,2022-08-31,,97.66,,,,
171,2022-09-05,53.21,,,,,
172,2022-09-11,53.2,,,,,
173,2022-09-19,53.22,,,,,
174,2022-09-24,53.23,,,,,
175,2022-10-05,51.65,53.22,,,,
176,2022-10-08,,,,0.01,,
177,2022-10-15,,,,17.35,,
178,2022-10-20,53.22,,,,,
179,2022-10-28,,53.22,,,,
180,2022-11-03,,,,16.98,,
181,2022-11-12,,,,0.09,,
182,2022-11-23,,,,12.52,,
183,2022-11-26,51.65,,,,,
184,2022-12-08,86.52,,,,,
185,2022-12-11,,,,,,29.1
186,2022-12-16,77.6,,5.33,,,
187,2022-12-17,53.22,,,,,
188,2022-12-28,43.0,,,,,
189,2022-12-30,139.36,,,,,
190,2023-01-03,,97.5,,,,
191,2023-01-10,86.51,,,,,
192,2023-01-18,,,55.1,,,
193,2023-01-19,70.0,,,,,
194,2023-01-26,43.0,,,,,
195,2023-01-31,70.0,,,,,
196,2023-02-02,42.98,,,,,
197,2023-02-07,,,,19.38,,
198,2023-02-12,43.0,,,,,
199,2023-02-17,70.0,,,,,
200,2023-02-18,,,,17.07,,
201,2023-02-27,43.01,,,,,
202,2023-03-02,51.65,,,,,
203,2023-03-03,70.0,,,,,
204,2023-03-09,86.51,,,,,
205,2023-03-15,51.65,,,,,
206,2023-03-17,70.0,,,0.02,,
207,2023-03-24,43.0,,,,,
208,2023-03-29,43.0,,,,,
209,2023-04-02,81.0,,,,,
210,2023-04-07,,,,0.01,,
211,2023-04-15,,98.21,,,,
212,2023-04-19,43.0,,,,,
213,2023-04-27,,97.67,,,,
214,2023-04-28,,,2.82,,,
215,2023-05-04,43.01,,,,,
