Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Aug 2022,3,2,0,0,0,0,1
Sep 2022,4,0,0,0,0,0,0
Oct 2022,2,2,0,2,0,0,0
Nov 2022,1,0,0,3,0,0,0
Dec 2022,5,0,1,0,0,0,1
Jan 2023,4,1,1,0,0,0,0
Feb 2023,4,0,0,2,0,0,0
Mar 2023,7,0,0,1,0,0,0
Apr 2023,2,2,1,1,0,0,0
May 2023,7,0,0,1,0,0,0
Jun 2023,5,1,0,1,0,0,0
Jul 2023,6,0,0,0,0,0,1
Aug 2023,7,0,0,1,0,0,0
Sep 2023,10,0,0,0,0,0,0
Oct 2023,8,0,0,0,0,0,0
Nov 2023,7,1,1,0,0,0,0
Dec 2023,7,1,0,0,0,0,0
Jan 2024,9,0,0,1,0,0,0
Feb 2024,6,1,0,1,0,0,1
Mar 2024,10,1,0,1,0,0,0
Apr 2024,10,1,1,0,0,0,0
May 2024,11,2,0,0,0,0,0
Jun 2024,9,0,0,1,0,0,0
Jul 2024,5,0,0,1,0,0,0
Aug 2024,10,1,0,0,0,1,0
Sep 2024,8,0,1,0,0,0,0
Oct 2024,9,0,0,0,0,0,1
Nov 2024,13,0,0,3,0,0,0
Dec 2024,9,0,1,3,0,0,0
Jan 2025,10,0,0,2,0,0,1
Feb 2025,11,0,0,0,0,0,1
Mar 2025,10,1,0,0,0,0,0
Apr 2025,14,0,0,0,0,0,0
May 2025,14,1,0,1,0,0,0
Jun 2025,14,0,0,1,0,0,0
Jul 2025,7,4,1,1,0,0,0
Aug 2025,2,0,0,0,0,0,0
Sep 2025,0,0,0,0,0,0,0
Oct 2025,0,0,0,0,0,0,0
Nov 2025,0,0,0,0,0,0,0
Dec 2025,0,0,0,0,0,0,0
