,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
167,2022-08-12,,13800.0,,,,
168,2022-08-19,15900.0,,,,,
169,2022-08-28,16200.0,,,,,
170,2022-08-31,,13800.0,,,,
171,2022-09-05,15735.0,,,,,
172,2022-09-11,11870.0,,,,,
173,2022-09-19,16470.0,,,,,
174,2022-09-24,15860.0,,,,,
175,2022-10-05,10755.0,15860.0,,,,
176,2022-10-08,,,,7350.0,,
177,2022-10-15,,,,4476.0,,
178,2022-10-20,16470.0,,,,,
179,2022-10-28,,16165.0,,,,
180,2022-11-03,,,,4476.0,,
181,2022-11-12,,,,6600.0,,
182,2022-11-23,,,,4500.0,,
183,2022-11-26,10073.6,,,,,
184,2022-12-08,5920.0,,,,,
185,2022-12-11,,,,,,1064.0
186,2022-12-16,2200.0,,3400.0,,,
187,2022-12-17,16470.0,,,,,
188,2022-12-28,16470.0,,,,,
189,2022-12-30,400.0,,,,,
190,2023-01-03,,2762.08,,,,
191,2023-01-10,5920.0,,,,,
192,2023-01-18,,,4352.0,,,
193,2023-01-19,15555.0,,,,,
194,2023-01-26,17080.0,,,,,
195,2023-01-31,15105.0,,,,,
196,2023-02-02,16165.0,,,,,
197,2023-02-07,,,,4500.0,,
198,2023-02-12,16775.0,,,,,
199,2023-02-17,15555.0,,,,,
200,2023-02-18,,,,5470.0,,
201,2023-02-27,15330.0,,,,,
202,2023-03-02,10890.0,,,,,
203,2023-03-03,15555.0,,,,,
204,2023-03-09,5920.0,,,,,
205,2023-03-15,10010.0,,,,,
206,2023-03-17,15860.0,,,7255.0,,
207,2023-03-24,17080.0,,,,,
208,2023-03-29,17080.0,,,,,
209,2023-04-02,4000.0,,,,,
210,2023-04-07,,,,6013.0,,
211,2023-04-15,,2166.707,,,,
212,2023-04-19,15330.0,,,,,
213,2023-04-27,,13800.0,,,,
214,2023-04-28,,,3400.0,,,
215,2023-05-04,17080.0,,,,,
216,2023-05-10,15555.0,,,,,
217,2023-05-14,17080.0,,,,,
218,2023-05-19,16060.0,,,,,
219,2023-05-20,6668.0,,,,,
220,2023-05-21,10700.0,,,,,
221,2023-05-27,,,,4500.0,,
222,2023-05-31,15860.0,,,,,
223,2023-06-04,16060.0,,,,,
224,2023-06-05,10022.0,,,,,
225,2023-06-12,15860.0,3269.158,,,,
226,2023-06-18,,,,4600.0,,
227,2023-06-22,14335.0,,,,,
228,2023-06-23,17080.0,,,,,
229,2023-07-01,,,,,,1921.0
230,2023-07-07,14640.0,,,,,
231,2023-07-10,16060.0,,,,,
232,2023-07-16,16470.0,,,,,
233,2023-07-20,10950.0,,,,,
234,2023-07-24,16060.0,,,,,
235,2023-07-28,16060.0,,,,,
236,2023-08-03,,,,5000.0,,
237,2023-08-07,16060.0,,,,,
238,2023-08-08,10950.0,,,,,
239,2023-08-11,16060.0,,,,,
240,2023-08-17,16060.0,,,,,
241,2023-08-22,15330.0,,,,,
242,2023-08-26,10890.0,,,,,
243,2023-08-27,16060.0,,,,,
244,2023-09-01,16060.0,,,,,
245,2023-09-02,4900.0,,,,,
246,2023-09-04,15330.0,,,,,
247,2023-09-09,16060.0,,,,,
248,2023-09-12,15330.0,,,,,
249,2023-09-16,16060.0,,,,,
250,2023-09-20,16060.0,,,,,
251,2023-09-24,16060.0,,,,,
252,2023-09-25,15330.0,,,,,
253,2023-09-30,16060.0,,,,,
254,2023-10-05,16060.0,,,,,
255,2023-10-09,15330.0,,,,,
256,2023-10-13,16060.0,,,,,
257,2023-10-18,16060.0,,,,,
258,2023-10-21,15330.0,,,,,
259,2023-10-22,16790.0,,,,,
260,2023-10-29,16060.0,,,,,
261,2023-10-30,16790.0,,,,,
262,2023-11-04,16790.0,,,,,
263,2023-11-08,16790.0,,,,,
264,2023-11-10,10006.0,,,,,
265,2023-11-11,,2073.525,,,,
266,2023-11-12,,,3400.0,,,
267,2023-11-18,16790.0,,,,,
268,2023-11-20,16060.0,,,,,
269,2023-11-22,16790.0,,,,,
270,2023-11-28,16790.0,,,,,
271,2023-12-01,,1280.65,,,,
272,2023-12-03,16790.0,,,,,
273,2023-12-07,16790.0,,,,,
274,2023-12-08,16060.0,,,,,
275,2023-12-19,16790.0,,,,,
276,2023-12-23,16790.0,,,,,
277,2023-12-24,3600.0,,,,,
278,2023-12-29,16790.0,,,,,
279,2024-01-03,16710.0,,,1800.0,,
280,2024-01-07,16790.0,,,,,
281,2024-01-14,16060.0,,,,,
282,2024-01-15,16790.0,,,,,
283,2024-01-18,10700.0,,,,,
