Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,7,3,0,0,0,0,4
1-2t,9,7,2,2,0,0,5
2-3t,7,11,0,0,0,0,2
3-4t,8,4,5,15,0,0,0
4-5t,2,2,5,21,0,0,0
5-6t,21,0,0,11,0,0,0
6-7t,4,0,0,11,0,0,0
7-8t,6,0,0,5,0,1,0
8-9t,8,0,0,0,0,0,0
9-10t,2,1,0,0,0,0,0
10-11t,33,0,0,0,0,0,0
11-12t,3,0,0,0,0,0,0
12-13t,0,1,0,0,0,0,0
13-14t,5,16,0,0,0,0,0
14-15t,16,0,0,0,0,0,0
15-16t,77,1,0,0,0,0,0
16-17t,123,1,0,0,0,0,0
17-18t,38,0,0,0,0,0,0
18-19t,31,0,0,0,0,0,0
