,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
151,2022-05-14,317.0,,,,,
152,2022-05-18,316.0,,,,,
153,2022-05-25,,536.0,,,,
154,2022-06-08,,,,35795.0,,
155,2022-06-17,328.0,,,,,
156,2022-06-18,,751.0,,,,
157,2022-06-19,1125.0,,,,,
158,2022-06-29,,,,35796.0,,
159,2022-07-07,327.0,,,,,
160,2022-07-11,,319.0,,,,
161,2022-07-15,267.0,,,,,
162,2022-07-17,337.0,,,,,
163,2022-07-22,,319.0,,,,
164,2022-07-24,335.0,,,,,
165,2022-08-04,,,,,,1155274.0
166,2022-08-10,334.0,,,,,
167,2022-08-12,,319.0,,,,
168,2022-08-19,337.0,,,,,
169,2022-08-28,335.0,,,,,
170,2022-08-31,,319.0,,,,
171,2022-09-05,314.0,,,,,
172,2022-09-11,334.0,,,,,
173,2022-09-19,336.0,,,,,
174,2022-09-24,337.0,,,,,
175,2022-10-05,210.0,310.0,,,,
176,2022-10-08,,,,35795.0,,
177,2022-10-15,,,,63252.0,,
178,2022-10-20,334.0,,,,,
179,2022-10-28,,337.0,,,,
180,2022-11-03,,,,65654.0,,
181,2022-11-12,,,,35741.0,,
182,2022-11-23,,,,68932.0,,
183,2022-11-26,240.0,,,,,
184,2022-12-08,599.0,,,,,
185,2022-12-11,,,,,,1134167.0
186,2022-12-16,861.0,,7658.0,,,
187,2022-12-17,336.0,,,,,
188,2022-12-28,336.0,,,,,
189,2022-12-30,502.0,,,,,
190,2023-01-03,,538.0,,,,
191,2023-01-10,602.0,,,,,
192,2023-01-18,,,20200.0,,,
193,2023-01-19,323.0,,,,,
194,2023-01-26,336.0,,,,,
195,2023-01-31,337.0,,,,,
196,2023-02-02,342.0,,,,,
197,2023-02-07,,,,64125.0,,
198,2023-02-12,339.0,,,,,
199,2023-02-17,317.0,,,,,
200,2023-02-18,,,,46215.0,,
201,2023-02-27,372.0,,,,,
202,2023-03-02,353.0,,,,,
203,2023-03-03,328.0,,,,,
204,2023-03-09,600.0,,,,,
205,2023-03-15,328.0,,,,,
206,2023-03-17,332.0,,,35718.0,,
207,2023-03-24,339.0,,,,,
208,2023-03-29,335.0,,,,,
209,2023-04-02,951.0,,,,,
210,2023-04-07,,,,35796.0,,
211,2023-04-15,,679.0,,,,
212,2023-04-19,352.0,,,,,
213,2023-04-27,,349.0,,,,
214,2023-04-28,,,8183.0,,,
215,2023-05-04,339.0,,,,,
216,2023-05-10,332.0,,,,,
217,2023-05-14,337.0,,,,,
218,2023-05-19,321.0,,,,,
219,2023-05-20,627.0,,,,,
220,2023-05-21,302.0,,,,,
221,2023-05-27,,,,61220.0,,
222,2023-05-31,331.0,,,,,
223,2023-06-04,322.0,,,,,
224,2023-06-05,407.0,,,,,
225,2023-06-12,338.0,537.0,,,,
226,2023-06-18,,,,62271.0,,
227,2023-06-22,334.0,,,,,
228,2023-06-23,339.0,,,,,
229,2023-07-01,,,,,,1274012.0
230,2023-07-07,334.0,,,,,
