Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,17,21,23,36,6,5,39
1-2t,38,23,9,20,1,0,5
2-3t,12,9,1,21,0,2,4
3-4t,1,0,0,41,4,4,1
4-5t,3,0,0,14,0,0,0
5-6t,2,1,0,11,0,0,0
6-7t,3,0,1,13,0,0,0
7-8t,4,0,0,0,0,0,0
8-9t,0,0,0,0,0,0,0
9-10t,0,0,0,0,1,0,0
10-11t,0,0,0,0,0,0,0
11-12t,0,0,0,0,0,0,0
12-13t,0,0,0,0,0,0,0
13-14t,1,0,0,0,0,0,0
