Payload_Mass,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0,6,0,0,14,0,19
1-2t,0,21,0,0,37,2,99
2-3t,0,11,0,0,305,1,786
3-4t,0,1,0,0,9,2,47
4-5t,0,6,0,0,28,0,0
5-6t,0,12,0,0,5,0,1
6-7t,0,0,0,0,8,0,14
7-8t,0,0,0,0,147,0,1
