Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,8,18,8,0,0,2,3
1-2t,104,17,23,1,0,9,4
2-3t,1077,4,5,2,0,13,0
3-4t,46,12,0,1,0,0,0
4-5t,29,4,0,0,0,0,0
5-6t,14,4,0,0,0,0,0
6-7t,17,5,0,0,0,0,0
7-8t,148,0,0,0,0,0,0
