Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Aug 1969,3,0,0,0,0,0,0
Sep 1969,3,0,0,0,0,0,0
Oct 1969,6,0,0,0,0,0,0
Nov 1969,2,0,0,0,0,0,0
Dec 1969,2,0,0,0,0,0,0
Jan 1970,2,0,0,0,0,0,0
Feb 1970,1,0,0,0,0,0,0
Mar 1970,4,0,0,0,0,0,0
Apr 1970,4,0,0,0,0,0,0
May 1970,2,0,0,0,0,0,0
Jun 1970,5,0,0,0,0,0,0
Jul 1970,3,0,0,0,0,0,0
Aug 1970,2,0,0,0,0,0,0
Sep 1970,3,0,0,0,0,0,0
Oct 1970,5,0,0,0,0,0,0
Nov 1970,2,0,0,0,0,0,0
Dec 1970,4,0,0,0,0,0,0
Jan 1971,3,0,0,0,0,0,0
Feb 1971,2,0,0,0,0,0,0
Mar 1971,3,0,0,0,0,0,0
Apr 1971,5,0,0,0,0,0,0
May 1971,3,0,0,0,0,0,0
Jun 1971,4,0,0,0,0,0,0
Jul 1971,4,0,0,0,0,0,0
Aug 1971,3,0,0,0,0,0,0
Sep 1971,4,0,0,0,0,0,0
Oct 1971,2,0,0,0,0,0,0
Nov 1971,2,0,0,0,0,0,0
Dec 1971,6,0,0,0,0,0,0
Jan 1972,1,0,0,0,0,0,0
Feb 1972,2,0,0,0,0,0,0
Mar 1972,4,0,0,0,0,0,0
Apr 1972,4,0,0,0,0,0,0
May 1972,3,0,0,0,0,0,0
Jun 1972,5,0,0,0,0,0,0
Jul 1972,4,0,0,0,0,0,0
Aug 1972,3,0,0,0,0,0,0
Sep 1972,3,0,0,0,0,0,0
Oct 1972,4,0,0,0,0,0,0
Nov 1972,1,0,0,0,0,0,0
Dec 1972,3,0,0,0,0,0,0
Jan 1973,1,0,0,0,0,0,0
Feb 1973,2,0,0,0,0,0,0
Mar 1973,4,0,0,0,0,0,0
Apr 1973,2,0,0,0,0,0,0
May 1973,5,0,0,0,0,0,0
Jun 1973,5,0,0,0,0,0,0
Jul 1973,2,0,0,0,0,0,0
Aug 1973,4,0,0,0,0,0,0
Sep 1973,3,0,0,0,0,0,0
Oct 1973,9,0,0,0,0,0,0
Nov 1973,4,0,0,0,0,0,0
Dec 1973,3,0,0,0,0,0,0
Jan 1974,2,0,0,0,0,0,0
Feb 1974,1,0,0,0,0,0,0
Mar 1974,3,0,0,0,0,0,0
Apr 1974,6,0,0,0,0,0,0
May 1974,5,0,0,0,0,0,0
Jun 1974,3,0,0,0,0,0,0
Jul 1974,5,0,0,0,0,0,0
Aug 1974,7,0,0,0,0,0,0
Sep 1974,1,0,0,0,0,0,0
Oct 1974,4,0,0,0,0,0,0
Nov 1974,4,0,0,0,0,0,0
Dec 1974,4,0,0,0,0,0,0
Jan 1975,3,0,0,0,0,0,0
Feb 1975,1,0,0,0,0,1,0
Mar 1975,4,0,0,0,0,0,0
Apr 1975,5,0,0,0,0,0,0
May 1975,4,0,0,0,0,0,0
Jun 1975,5,0,0,0,0,0,0
Jul 1975,5,0,0,0,0,0,0
Aug 1975,3,0,0,0,0,0,0
Sep 1975,7,0,0,0,0,0,0
Oct 1975,2,0,0,0,0,0,0
Nov 1975,4,0,0,0,0,0,0
Dec 1975,3,0,0,0,0,0,0
Jan 1976,2,0,0,0,0,0,0
Feb 1976,2,0,0,0,0,0,0
Mar 1976,5,0,0,0,0,0,0
Apr 1976,3,0,0,0,0,0,0
May 1976,5,0,0,0,0,0,0
Jun 1976,4,0,0,0,0,0,0
Jul 1976,3,0,0,0,0,0,0
Aug 1976,4,0,0,0,0,0,0
Sep 1976,5,0,0,0,0,0,0
Oct 1976,5,0,0,0,0,0,0
Nov 1976,4,0,0,0,0,0,0
Dec 1976,2,0,0,0,0,0,0
Jan 1977,3,0,0,0,0,0,0
Feb 1977,4,0,0,0,0,0,0
Mar 1977,3,0,0,0,0,0,0
Apr 1977,4,0,0,0,0,0,0
May 1977,4,0,0,0,0,0,0
Jun 1977,4,1,0,0,0,0,0
Jul 1977,5,0,0,0,0,0,0
Aug 1977,4,0,0,0,0,0,0
Sep 1977,6,0,0,0,0,0,0
Oct 1977,2,0,0,0,0,0,0
Nov 1977,0,0,0,0,0,0,0
Dec 1977,6,0,0,0,0,0,0
Jan 1978,7,0,0,0,0,0,0
Feb 1978,2,0,0,0,0,0,0
Mar 1978,5,0,0,0,0,0,0
Apr 1978,3,0,0,0,0,0,0
May 1978,5,0,0,0,0,0,0
Jun 1978,4,0,0,0,0,0,0
Jul 1978,2,0,0,0,0,0,0
Aug 1978,4,0,0,0,0,0,0
Sep 1978,2,0,0,0,0,0,0
Oct 1978,5,0,0,0,0,0,0
Nov 1978,4,0,0,0,0,0,0
Dec 1978,7,0,0,0,0,0,0
Jan 1979,4,1,0,0,0,0,0
Feb 1979,5,0,0,0,0,0,0
Mar 1979,4,0,0,0,0,0,0
Apr 1979,4,0,0,0,0,0,0
May 1979,5,0,0,0,0,0,0
Jun 1979,7,0,0,0,0,0,0
Jul 1979,5,0,0,0,0,0,0
Aug 1979,6,0,0,0,0,0,0
Sep 1979,4,0,0,0,0,0,0
Oct 1979,5,0,0,0,0,0,0
Nov 1979,2,0,0,0,0,0,0
Dec 1979,3,0,0,0,0,0,0
Jan 1980,3,0,0,0,0,0,0
Feb 1980,2,0,0,0,0,0,0
Mar 1980,3,0,0,0,0,0,0
Apr 1980,5,0,0,0,0,0,0
May 1980,5,0,0,0,0,0,0
Jun 1980,7,0,0,0,0,0,0
Jul 1980,5,0,0,0,0,0,0
Aug 1980,4,0,0,0,0,0,0
Sep 1980,7,0,0,0,0,0,0
Oct 1980,5,0,0,0,0,0,0
Nov 1980,3,0,0,0,0,0,0
Dec 1980,3,0,0,0,0,0,0
Jan 1981,5,0,0,0,0,0,0
Feb 1981,2,0,0,0,0,0,0
Mar 1981,4,0,0,0,0,1,0
Apr 1981,3,0,0,0,0,1,0
May 1981,6,0,0,0,0,0,0
Jun 1981,3,0,0,0,0,0,0
Jul 1981,6,1,0,0,0,0,0
Aug 1981,5,0,0,0,0,0,0
Sep 1981,3,0,0,0,0,0,0
Oct 1981,4,0,0,0,0,0,0
Nov 1981,2,0,0,0,0,0,0
Dec 1981,2,0,0,0,0,0,0
Jan 1982,3,0,0,0,0,0,0
Feb 1982,2,0,0,0,0,0,0
Mar 1982,3,0,0,0,0,0,0
Apr 1982,4,0,0,0,0,0,0
May 1982,7,0,0,0,0,0,0
Jun 1982,7,0,0,0,0,0,0
Jul 1982,4,0,0,0,0,0,0
Aug 1982,5,0,0,0,0,0,0
Sep 1982,6,0,0,0,0,0,0
Oct 1982,2,0,0,0,0,0,0
Nov 1982,2,0,0,0,0,0,0
Dec 1982,5,0,0,0,0,0,0
Jan 1983,2,0,0,0,0,0,0
Feb 1983,4,0,0,0,0,0,0
Mar 1983,3,0,0,0,0,0,0
Apr 1983,5,0,0,0,0,0,0
May 1983,4,0,0,0,0,0,0
Jun 1983,4,0,0,0,0,0,0
Jul 1983,4,1,0,0,0,0,0
Aug 1983,5,0,0,0,0,0,0
Sep 1983,6,0,0,0,0,0,0
Oct 1983,4,0,0,0,0,0,0
Nov 1983,2,0,0,0,0,0,0
Dec 1983,3,0,0,0,0,0,0
Jan 1984,3,0,0,0,0,0,0
Feb 1984,4,0,0,0,0,0,0
Mar 1984,3,0,0,0,0,0,0
Apr 1984,4,0,0,0,0,0,0
May 1984,6,0,0,0,0,0,0
Jun 1984,7,0,0,0,0,0,0
Jul 1984,5,0,0,0,0,0,0
Aug 1984,4,0,0,0,0,0,0
Sep 1984,4,0,0,0,0,0,0
Oct 1984,0,0,0,0,0,0,0
Nov 1984,4,0,0,0,0,0,0
Dec 1984,0,0,0,0,0,0,0
Jan 1985,2,0,0,0,0,0,0
Feb 1985,2,0,0,0,0,0,0
Mar 1985,2,0,0,0,0,0,0
Apr 1985,4,0,0,0,0,0,0
May 1985,3,0,0,0,0,0,0
Jun 1985,6,0,0,0,0,0,0
Jul 1985,4,0,0,0,0,0,0
Aug 1985,6,0,0,0,0,0,0
Sep 1985,4,0,0,0,0,0,0
Oct 1985,3,0,0,0,0,0,0
Nov 1985,1,0,0,0,0,0,0
Dec 1985,4,0,0,0,0,0,0
Jan 1986,3,0,0,0,0,0,0
Feb 1986,3,0,0,0,0,0,0
Mar 1986,3,0,0,0,0,0,0
Apr 1986,3,0,0,0,0,0,0
May 1986,5,0,0,0,0,0,0
Jun 1986,3,0,0,0,0,0,0
Jul 1986,3,0,0,0,0,0,0
Aug 1986,4,0,0,0,0,0,0
Sep 1986,2,0,0,0,0,0,0
