Payload_Mass,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0,0,0,0,0,0,0
1-2t,0,0,0,2,0,0,0
2-3t,0,0,0,1,0,0,0
3-4t,0,0,0,0,0,1,0
4-5t,0,0,0,1,0,0,0
