Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,days_since_last
2022-159,2459910.31,2022-11-26,Falcon 9,FT5,189/B1076.1  F188,Dragon CRS-26,Dragon C211,-,-,KSC,LC39A,-,-,240.0, ,    -, ,-,18.584,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10073.6,2022-11-26,208.0,51.65,LLEO/I,Other,B,Government,52.0
2022-166,2459922.44,2022-12-08,Falcon 9,FT5,192/B1069.4  F189,OneWeb-1,OneWeb L15,-,-,KSC,LC39A,-,-,599.0, ,    -, ,-,5.92,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,5920.0,2022-12-09,589.0,86.52,LLEO/P,Communications,B,Commercial,12.0
2022-175,2459931.4,2022-12-17,Falcon 9,FT5,191/B1058.15 F193,Starlink-68,Starlink Group 4-37,V1.5 4-37 (54 Ku),-,KSC,LC39A,-,-,336.0, ,    -, ,-,16.67,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16470.0,2022-12-18,231.0,53.22,LLEO/I,Communications,B,Starlink,9.0
2023-015,2459977.83,2023-02-02,Falcon 9,FT5,202/B1069.5  F202,Starlink-73,Starlink Group 5-3,V1.5 5-3  (43 Ku),-,KSC,LC39A,-,-,342.0, ,    -, ,-,16.365,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16165.0,2023-02-02,323.0,42.98,LLEO/I,Communications,B,Starlink,47.0
2023-027,2460005.73,2023-03-02,Falcon 9,FT5,209/B1078.1  F208,Dragon Crew-6,Dragon C206.4,-,-,KSC,LC39A,-,-,353.0, ,    -, ,-,13.055,SPX,OS,-,C,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10890.0,2023-03-02,211.0,51.65,LLEO/I,Other,B,Commercial,28.0
2023-033,2460018.52,2023-03-15,Falcon 9,FT5,213/B1073.7  F211,Dragon CRS-27,Dragon C209.3,-,-,KSC,LC39A,-,-,328.0, ,    -, ,-,17.862,SPX,OS,-,C,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10010.0,2023-03-15,210.0,51.65,LLEO/I,Other,B,Commercial,13.0
2023-070,2460086.4,2023-05-21,Falcon 9,FT5,224/B1080.1  F227,Axiom Ax-2,Dragon C212.2,-,-,KSC,LC39A,-,-,302.0, ,    -, ,-,13.0,SPX,OS,-,C,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10700.0,2023-05-22,210.0,51.65,LLEO/I,Other,B,Commercial,67.0
2023-080,2460101.16,2023-06-05,Falcon 9,FT5,231/B1077.5  F231,Dragon CRS-28,Dragon C208.4,-,-,KSC,LC39A,-,-,407.0, ,    -, ,-,18.94,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10022.0,2023-06-06,403.0,51.65,LLEO/I,Other,B,Government,15.0
2023-128,2460182.81,2023-08-26,Falcon 9,FT5,249/B1081.1  F250,Dragon Crew-7,Dragon C210.3,-,-,KSC,LC39A,-,-,268.0, ,    -, ,-,13.057,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10890.0,2023-08-26,183.0,51.64,LLEO/I,Other,B,Government,82.0
2023-134,2460191.62,2023-09-04,Falcon 9,FT5,254/B1073.10 F254,Starlink-105,Starlink Group 6-12,V2M  6-12 (21 Ku),-,KSC,LC39A,-,-,292.0, ,    -, ,-,15.75,SPX,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,15330.0,2023-09-04,284.0,43.0,LLEO/I,Communications,B,Starlink,9.0
