Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,days_since_last
2025-136,2460851.77,2025-06-25,Falcon 9,FT5,xxx/B1094.2  F496,Axiom Ax-4,Dragon C213.1,-,-,KSC,LC39A,-,-,208.0, ,    -, ,-,13.0,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10700.0,2025-06-25,189.0,51.6,LLEO/I,Other,B,Government,28.0
2025-143,2460858.38,2025-07-01,Falcon 9,FT5,xxx/B1085.9  F500,Meteosat-13,MTG-S1,-,-,KSC,LC39A,-,-,65207.0, ,    -, ,-,2.8,SPX,OS,-,CX/OG,Sat LEO D,SpaceX,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,3800.0,2025-07-01,334.0,21.22,HEO,Observation,C,Government,6.0
2025-166,2460889.16,2025-08-01,Falcon 9,FT5,xxx/B1094.3  F513,Dragon Crew-11,Dragon C206.6,-,-,KSC,LC39A,-,-,214.0, ,    -, ,-,13.055,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,10890.0,2025-08-01,192.0,51.65,LLEO/I,Other,B,Government,31.0
2025-183,2460909.66,2025-08-22,Falcon 9,FT5,xxx/B1092.6  F519,X-37B OTV FLT-8,X-37B No. 1/USSF-36,-,-,KSC,LC39A,-,-,334.0, ,    -, ,-,5.0,SPX,OS,-,CX/G,Sat LEO D,Wire,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,5020.0,2025-08-22,327.0,49.52,LLEO/I,TECH*,D,Military,21.0
2025-190,2460915.84,2025-08-28,Falcon 9,FT5,xxx/B1067.30 F524,Starlink-297,Starlink Group 10-11,V2MO 10-11,-,KSC,LC39A,-,-,277.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16100.0,2025-08-28,265.0,53.16,LLEO/I,Communications,B,Starlink,6.0
2025-198,2460924.02,2025-09-05,Falcon 9,FT5,xxx/B1069.27 F529,Starlink-302,Starlink Group 10-57,V2MO 10-57,-,KSC,LC39A,-,-,273.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16100.0,2025-09-06,262.0,53.16,LLEO/I,Communications,B,Starlink,8.0
2025-215,2460942.98,2025-09-24,Falcon 9,FT5,xxx/B1096.2  F539,IMAP,IMAP,-,-,KSC,LC39A,-,-,1164400.0, ,    -, ,-,16.1,SPX,DS,-,C,Sat EEO E,nasaspaceflight.com,-,-,BEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,1517.0,2025-09-24,188.0,28.37,CLO,Science,C,Commercial,19.0
2025-257,2460988.84,2025-11-09,Falcon 9,FT5,xxx/B1069.28 F561,Starlink-325,Starlink Group 10-51,V2MO 10-51,-,KSC,LC39A,-,-,269.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16675.0,2025-11-09,259.0,53.16,LLEO/I,Communications,B,Starlink,46.0
2025-262,2460994.63,2025-11-15,Falcon 9,FT5,xxx/B1092.8  F563,Starlink-327,Starlink Group 6-89,V2MO 6-89,-,KSC,LC39A,-,-,268.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16675.0,2025-11-15,260.0,43.0,LLEO/I,Communications,B,Starlink,6.0
2025-268,2461000.65,2025-11-21,Falcon 9,FT5,xxx/B1080.23 F567,Starlink-330,Starlink Group 6-78,V2MO 6-78,-,KSC,LC39A,-,-,272.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Kennedy,,16675.0,2025-11-21,263.0,43.0,LLEO/I,Communications,B,Starlink,6.0
