Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
2017,0,1,0,0,0,0,0
2018,0,2,0,0,0,1,0
2019,0,3,0,0,0,3,0
2020,0,5,0,0,0,2,0
2021,0,5,0,0,0,1,0
2022,0,6,0,1,0,2,0
2023,0,9,0,0,0,0,0
2024,0,12,0,1,0,1,0
2025,0,12,0,0,0,0,0
