Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
2017,1,0,0,0,0,0,0
2018,3,0,0,0,0,0,0
2019,5,1,0,0,0,0,0
2020,2,5,0,0,0,0,0
2021,6,0,0,0,0,0,0
2022,3,5,0,0,0,0,1
2023,9,0,0,0,0,0,0
2024,3,11,0,0,0,0,0
2025,7,5,0,0,0,0,0
