Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-5kg,16,5,0,0,0,0,0
5-10kg,1,5,0,0,0,0,0
10-15kg,1,31,0,0,0,0,0
15-20kg,0,0,0,0,0,0,0
20-25kg,0,1,0,0,0,0,0
25-30kg,0,1,0,0,0,0,0
30-35kg,0,3,0,0,0,0,0
35-40kg,0,0,0,0,0,0,0
40-45kg,0,0,0,0,0,0,0
45-50kg,0,0,0,0,0,0,0
50-55kg,0,0,0,0,0,0,0
55-60kg,0,1,0,0,0,0,0
60-65kg,0,0,0,0,0,0,0
65-70kg,0,0,0,0,0,0,0
70-75kg,0,2,0,0,0,0,0
75-80kg,0,0,0,0,0,0,0
80-85kg,1,1,0,0,0,0,0
85-90kg,0,0,0,0,0,0,0
90-95kg,0,1,0,0,0,0,0
95-100kg,0,1,0,0,0,0,0
