Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,23,58,1,0,10,0,0
1-2t,0,3,0,0,0,0,0
2-3t,0,2,0,0,3,0,0
3-4t,0,0,0,0,2,0,0
4-5t,0,0,0,0,9,0,0
5-6t,0,0,0,0,2,0,0
6-7t,0,0,0,0,0,0,0
7-8t,0,0,0,0,2,0,0
