Year,Observation,Communications,Science,Tech Demo,Other
2018,50,23,5,84,38
2019,53,18,10,67,17
2020,59,39,5,19,31
2021,85,120,8,81,41
2022,89,120,3,92,46
2023,154,99,4,95,63
2024,94,64,3,84,40
2025,184,95,18,99,77
