,Observation,Communications,Science,Tech Demo,Other
0-10kg,236,48,63,172,68
10-20kg,1,0,2,8,3
20-30kg,0,1,5,4,12
30-40kg,0,0,2,1,1
40-50kg,4,2,3,11,2
50-60kg,4,0,0,3,2
60-70kg,1,0,6,2,2
70-80kg,1,0,0,1,2
80-90kg,1,1,2,0,0
90-100kg,2,0,1,4,1
100-110kg,15,0,0,0,1
110-120kg,15,0,0,1,0
120-130kg,1,0,4,2,4
130-140kg,0,0,0,2,2
140-150kg,1,0,0,2,3
150-160kg,0,0,0,1,0
160-170kg,0,1,0,2,1
170-180kg,1,17,0,0,1
180-190kg,1,0,0,0,1
190-200kg,0,0,0,0,1
200-210kg,0,0,0,0,0
210-220kg,0,0,0,0,1
220-230kg,0,0,0,1,0
230-240kg,0,0,0,0,1
240-250kg,0,0,0,1,2
250-260kg,0,0,0,0,0
260-270kg,1,0,0,0,0
270-280kg,1,0,0,0,0
280-290kg,1,0,0,0,0
290-300kg,4,0,0,0,3
