Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2023-154,2460224.25,2023-10-06,Atlas V 501,-,AV-104,Kuiper Protoflight,KuiperSat-1/2,-,-,CC,SLC41,-,-,504.0, ,    -, ,-,1.2,ULAL,DS,-,CG/C,Sat LEO E,Wire,-,-,LEO,Scientific,Atlas5,Atlas 5,US,United States,Canaveral,,1142.0,2023-10-08,484.0,29.99,LLEO/I,Communications,B,Commercial
2025-088,2460794.46,2025-04-28,Atlas V 551,G,AV-107,Kuiper KA-01,KA-01,-,-,CC,SLC41,-,-,470.0, ,    -, ,-,17.0,ULAL,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Atlas5,Atlas 5,US,United States,Canaveral,,15417.0,2025-04-29,456.0,51.86,LLEO/I,Communications,B,Commercial
2025-134,2460849.95,2025-06-23,Atlas V 551,G,AV-105,Kuiper KA-02,KA-02,-,-,CC,SLC41,-,-,467.0, ,    -, ,-,17.0,ULAL,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Atlas5,Atlas 5,US,United States,Canaveral,,15417.0,2025-06-25,455.0,51.87,LLEO/I,Communications,B,Commercial
2025-151,2460872.77,2025-07-16,Falcon 9,FT5,xxx/B1096.1  F505,Kuiper KF01,Kuiper KF-01,-,-,CC,LC40,-,-,463.0, ,    -, ,-,12.0,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Canaveral,,13704.0,2025-07-16,454.0,51.88,LLEO/I,Communications,B,Commercial
2025-171,2460899.02,2025-08-11,Falcon 9,FT5,xxx/B1091.1  F515,Kuiper KF02,Kuiper KF-02,-,-,CC,LC40,-,-,463.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Canaveral,,13704.0,2025-08-11,454.0,51.88,LLEO/I,Communications,B,Commercial
2025-217,2460944.01,2025-09-25,Atlas V 551,G,AV-108,Kuiper KA-03,KA-03,-,-,CC,SLC41,-,-,472.0, ,    -, ,-,17.0,ULAL,OS,-,C,Sat LEO D,Wire,-,-,LEO,Scientific,Atlas5,Atlas 5,US,United States,Canaveral,,15417.0,2025-09-25,456.0,51.86,LLEO/I,Communications,B,Commercial
2025-228,2460962.58,2025-10-14,Falcon 9,FT5,xxx/B1091.2  F546,Kuiper KF03,Kuiper KF-03,-,-,CC,LC40,-,-,467.0, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,LEO,Scientific,Falcon9,Falcon 9,US,United States,Canaveral,,13704.0,2025-10-14,459.0,51.88,LLEO/I,Communications,B,Commercial
