,Launch_Date,Atlas 5,Falcon 9
0,2023-10-06,1142.0,
1,2025-04-28,15417.0,
2,2025-06-23,15417.0,
3,2025-07-16,,13704.0
4,2025-08-11,,13704.0
5,2025-09-25,15417.0,
6,2025-10-14,,13704.0
