Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2020-074,2459147.15,2020-10-24,Falcon 9,FT5,100/B1060.3  F097,Starlink-15,Starlink V1.0-L14,L14 (60),-,CC,LC40,-,-,270.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-10-28,257.0,53.05,LLEO/I,Communications,B,Starlink
2020-088,2459178.59,2020-11-25,Falcon 9,FT5,102/B1049.7  F101,Starlink-16,Starlink V1.0-L15,L15 (60),-,CC,LC40,-,-,347.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-12-01,272.0,53.05,LLEO/I,Communications,B,Starlink
2021-005,2459235.04,2021-01-20,Falcon 9,FT5,105/B1051.8  F106,Starlink-17,Starlink V1.0-L16,L16 (60),-,KSC,LC39A,-,-,281.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2021-01-22,264.0,53.05,LLEO/I,Communications,B,Starlink
2021-009,2459249.76,2021-02-04,Falcon 9,FT5,109/B1060.5  F108,Starlink-19 (N18),Starlink V1.0-L18,L18 (60),-,CC,LC40,-,-,301.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-02-11,300.0,53.05,LLEO/I,Communications,B,Starlink
2021-012,2459261.67,2021-02-16,Falcon 9,FT5,110/B1059.6  F109,Starlink-20 (N19),Starlink V1.0-L19,L19 (60),-,CC,LC40,-,-,286.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-02-18,283.0,53.05,LLEO/I,Communications,B,Starlink
2021-017,2459277.85,2021-03-04,Falcon 9,FT5,108/B1049.8  F110,Starlink-21 (N20),Starlink V1.0-L17,L17 (60),-,KSC,LC39A,-,-,280.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2021-03-07,259.0,53.05,LLEO/I,Communications,B,Starlink
2021-018,2459284.84,2021-03-11,Falcon 9,FT5,111/B1058.6  F111,Starlink-22 (N21),Starlink V1.0-L20,L20 (60),-,CC,LC40,-,-,278.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-03-12,257.0,53.05,LLEO/I,Communications,B,Starlink
2021-021,2459287.92,2021-03-14,Falcon 9,FT5,112/B1051.9  F112,Starlink-23 (N22),Starlink V1.0-L21,L21 (60),-,KSC,LC39A,-,-,284.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,spaceflightnow.com,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2021-03-14,254.0,53.05,LLEO/I,Communications,B,Starlink
2021-024,2459297.85,2021-03-24,Falcon 9,FT5,113/B1060.6  F113,Starlink-24 (N23),Starlink V1.0-L22,L22 (60),-,CC,LC40,-,-,294.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-03-30,290.0,53.05,LLEO/I,Communications,B,Starlink
2021-027,2459312.19,2021-04-07,Falcon 9,FT5,114/B1058.7  F114,Starlink-25 (N24),Starlink V1.0-L23,L23 (60),-,CC,LC40,-,-,277.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-04-10,271.0,53.05,LLEO/I,Communications,B,Starlink
2021-036,2459333.66,2021-04-29,Falcon 9,FT5,115/B1060.7  F116,Starlink-26 (N25),Starlink V1.0-L24,L24 (60),-,CC,LC40,-,-,282.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-04-29,257.0,53.05,LLEO/I,Communications,B,Starlink
2021-038,2459339.29,2021-05-04,Falcon 9,FT5,116/B1049.9  F117,Starlink-27 (N26),Starlink V1.0-L25,L25 (60),-,KSC,LC39A,-,-,276.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2021-05-05,261.0,53.05,LLEO/I,Communications,B,Starlink
2021-040,2459343.78,2021-05-09,Falcon 9,FT5,117/B1051.10 F118,Starlink-28 (N27),Starlink V1.0-L27,L27 (60),-,CC,LC40,-,-,279.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-05-09,260.0,53.05,LLEO/I,Communications,B,Starlink
2021-041,2459350.46,2021-05-15,Falcon 9,FT5,119/B1058.8  F119,Starlink-29 (N28),Starlink V1.0-L26,L26 (52),-,KSC,LC39A,-,-,583.0, ,    -, ,-,14.093,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",13643.0,2021-05-17,565.0,53.04,LLEO/I,Communications,B,Starlink
2021-044,2459361.29,2021-05-26,Falcon 9,FT5,120/B1063.2  F120,Starlink-30 (N29),Starlink V1.0-L28,L28 (60),-,CC,LC40,-,-,281.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2021-05-27,258.0,53.05,LLEO/I,Communications,B,Starlink
2021-082,2459471.66,2021-09-14,Falcon 9,FT5,125/B1049.10 F126,Starlink-32 (N30),Starlink Group 2-1,V1.5 2-1 (51 Ku),-,VSFBS,SLC4E,-,-,334.0, ,    -, ,-,15.547,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,V,Vandenberg,15147.0,2021-09-16,228.0,70.0,LLEO/I,Communications,B,Starlink
2021-104,2459532.01,2021-11-13,Falcon 9,FT5,130/B1058.9  F129,Starlink-33,Starlink Group 4-1,V1.5 4-1  (53 Ku),-,CC,LC40,-,-,330.0, ,    -, ,-,15.77,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15370.0,2021-11-15,223.0,53.22,LLEO/I,Communications,B,Starlink
2021-115,2459551.47,2021-12-02,Falcon 9,FT5,126/B1060.9  F131,Starlink-34,Starlink Group 4-3,V1.5 4-3  (48 Ku),-,CC,LC40,-,-,440.0, ,    -, ,-,14.435,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,14030.0,2021-12-03,424.0,53.22,LLEO/I,Communications,B,Starlink
2021-125,2459567.03,2021-12-18,Falcon 9,FT5,129/B1051.11 F133,Starlink-35,Starlink Group 4-4,V1.5 4-4  (52 Ku),-,VSFBS,SLC4E,-,-,339.0, ,    -, ,-,15.48,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,V,Vandenberg,15080.0,2021-12-19,209.0,53.22,LLEO/I,Communications,B,Starlink
2022-001,2459586.41,2022-01-06,Falcon 9,FT5,138/B1062.4  F136,Starlink-36,Starlink Group 4-5,V1.5 4-5  (49 Ku),-,KSC,LC39A,-,-,337.0, ,    -, ,-,14.953,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",14553.0,2022-01-07,209.0,53.22,LLEO/I,Communications,B,Starlink
2022-005,2459598.59,2022-01-19,Falcon 9,FT5,139/B1060.10 F138,Starlink-37,Starlink Group 4-6,V1.5 4-6  (49 Ku),-,KSC,LC39A,-,-,339.0, ,    -, ,-,14.953,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",14553.0,2022-01-19,209.0,53.23,LLEO/I,Communications,B,Starlink
2022-010,2459614.26,2022-02-03,Falcon 9,FT5,140/B1061.6  F141,Starlink-38,Starlink Group 4-7,V1.5 4-7  (49 Ku),-,KSC,LC39A,-,-,335.0, ,    -, ,-,14.953,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",5049.0,2022-02-04,209.0,53.22,LLEO/I,Communications,B,Starlink
2022-016,2459632.11,2022-02-21,Falcon 9,FT5,142/B1058.11 F142,Starlink-39,Starlink Group 4-8,V1.5 4-8  (46 Ku),-,CC,LC40,-,-,335.0, ,    -, ,-,14.062,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,13662.0,2022-02-22,324.0,53.22,LLEO/I,Communications,B,Starlink
2022-017,2459636.22,2022-02-25,Falcon 9,FT5,143/B1063.4  F143,Starlink-40,Starlink Group 4-11,V1.5 4-11 (50 Ku),-,VSFBS,SLC4E,-,-,313.0, ,    -, ,-,15.25,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,V,Vandenberg,14850.0,2022-02-26,304.0,53.22,LLEO/I,Communications,B,Starlink
2022-022,2459642.1,2022-03-03,Falcon 9,FT5,144/B1060.11 F144,Starlink-41,Starlink Group 4-9,V1.5 4-9  (47 Ku),-,KSC,LC39A,-,-,315.0, ,    -, ,-,14.359,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",13959.0,2022-03-04,304.0,53.22,LLEO/I,Communications,B,Starlink
