Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1971-043,2441089.83,1971-05-18,Voskhod 11A57,-,7705712-218,Kosmos-420,Zenit-4M,-,-,NIIP-5,LC31,-,-,253.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-05-21,200.0,51.76,LLEO/I,Observation,D,Eastern Military
1971-048,2441099.94,1971-05-28,Voskhod 11A57,-,Kh15002-052,Kosmos-424,Zenit-4M,-,-,NIIP-53,LC43/4,-,-,286.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-05-30,198.0,65.37,LLEO/I,Observation,D,Eastern Military
1971-053,2441108.7,1971-06-06,Soyuz 11A511,-,Kh15000-024,Soyuz-11,Soyuz 7KT-OK No. 32,-,-,NIIP-5,LC1,-,-,258.0, ,    -, ,-,6.56,RVSN,OS,-,G,Sat LEO O,NK0204-71,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2810.0,1971-06-13,250.0,51.58,LLEO/I,Other,C,Eastern Government
1971-055,2441113.92,1971-06-11,Voskhod 11A57,-,7801424-715,Kosmos-427,Zenit-4MK,-,-,NIIP-53,LC43/4,-,-,324.0, ,    -, ,-,6.01,RVSN,OS,-,G,Sat LSS O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2310.0,1971-06-13,184.0,72.85,LLEO/I,Observation,D,Eastern Military
1971-057,2441126.83,1971-06-24,Voskhod 11A57,-,7705711-123,Kosmos-428,Zenit-2M,-,-,NIIP-5,LC31,-,-,254.0, ,    -, ,-,6.03,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2830.0,1971-06-26,206.0,51.76,LLEO/I,Observation,D,Eastern Military
1971-F05,2441127.94,1971-06-25,Voskhod 11A57,-,7801422-235,-,Zenit-4M,-,-,NIIP-53,LC43/4,-,-,,?,    -, ,-,5.98,RVSN,OF,S1P,G,Sat LEO O,AK15,AVMNLJ,Blok V engine out,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,,,,,,,,Eastern Government
1971-059,2441148.57,1971-07-16,Vostok 8A92M,-,7705711-308,Meteor,Meteor-M No. 20,-,-,NIIP-53,LC43/4,-,-,640.0, ,    -, ,-,1.28,RVSN,OS,-,G,Sat LEO O,PL-WWW,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,1280.0,1971-08-21,613.0,81.2,LEO/I,Observation,D,Eastern Military
1971-061,2441152.92,1971-07-20,Voskhod 11A57,-,7705712-221,Kosmos-429,Zenit-4M,-,-,NIIP-5,LC31,-,-,252.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-07-22,202.0,51.77,LLEO/I,Observation,D,Eastern Military
1971-062,2441155.96,1971-07-23,Voskhod 11A57,-,7705712-215,Kosmos-430,Zenit-4M,-,-,NIIP-53,LC43/3,-,-,265.0, ,    -, ,-,6.0,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP53,,2200.0,1971-07-27,186.0,65.4,LLEO/I,Observation,D,Eastern Military
1971-065,2441162.85,1971-07-30,Voskhod 11A57,-,7801421-141,Kosmos-431,Zenit-2M,-,-,NIIP-5,LC31,-,-,255.0, ,    -, ,-,5.4,RVSN,OS,-,G,Sat LEO O,AK15/RAEX,XPC,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2200.0,1971-08-01,194.0,51.76,LLEO/I,Observation,D,Eastern Military
