Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-2t,0.0,0.0,0.0,3.6856,0.0,0.0,0.0
2-3t,0.0,0.0,0.0,28.268932,0.0,0.0,0.0
3-4t,0.0,0.0,0.0,10.679,0.0,0.0,0.0
