Launch_Year,LEO,SSO,MEO,GTO,GEO,HEO,BEO
2018,0,0,0,0,0,0,1
2019,0,0,1,1,0,0,0
2020,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0
2022,0,0,0,0,1,0,0
2023,0,0,1,0,3,0,1
2024,0,0,0,1,0,0,1
