Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,0,0,0,0,0,0,1
1-2t,0,0,0,0,0,0,0
2-3t,0,0,1,0,1,0,1
3-4t,0,0,0,0,1,0,0
4-5t,0,0,1,1,0,0,0
5-6t,0,0,0,0,0,0,1
6-7t,0,0,0,1,1,0,0
7-8t,0,0,0,0,0,0,0
8-9t,0,0,0,0,0,0,0
9-10t,0,0,0,0,1,0,0
