Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
2018,0,1,0,0,0,0,0
2019,0,1,0,1,0,0,0
2020,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0
2022,0,0,0,0,0,1,0
2023,0,2,0,1,0,2,0
2024,0,0,0,2,0,0,0
