Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1-2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-3t,0.0,0.0,2.84782,0.0,2.243,0.0,2.608
3-4t,0.0,0.0,0.0,0.0,3.7,0.0,0.0
4-5t,0.0,0.0,5.0,5.0,0.0,0.0,0.0
5-6t,0.0,0.0,0.0,0.0,0.0,0.0,5.7
6-7t,0.0,0.0,0.0,6.465,6.84,0.0,0.0
7-8t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-9t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,0.0,0.0,0.0,0.0,9.2,0.0,0.0
