Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Year
2021-F08,2459460.58,2021-09-03,Firefly Alpha,-,FLTA001,Dream,-,-,-,VSFB,SLC2W,-,-,,?,    -, ,-,0.056,FFLY,OF,S1P,C,Sat LEO O,Wire,-,"Elec connector failed, engine ou",LEO,Alpha,Firefly Alpha,US,United States,V,Vandenberg,,,,,,,,Commercial,2021
2021-079,2459464.63,2021-09-07,Chang Zheng 4C,-,Y40,Gao Fen 5-02,GF5-02,-,-,TYSC,LC9,-,-,695.0, ,    -, ,-,2.7,SAST,OS,-,G,Sat SSO L,nasaspaceflight.com,xinhuanet.com,-,SSO,DF5,Long March 4,CN,China,TYSC,Taiyuan weixing fashe zhongxin,2700.0,2021-09-09,688.0,98.28,LEO/S,Observation,C,Eastern Government,2021
2021-080,2459466.99,2021-09-09,Chang Zheng 3B,-,Y86,Zhongxing 9B,Zhongxing 9B,-,-,XSC,LC2,-,-,35804.0, ,    -, ,-,5.25,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,xinhuanet.com,-,GTO,DF5,Long March 3,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",5250.0,2021-09-22,35768.0,0.06,GEO/S,Communications,C,Eastern Government,2021
2021-081,2459467.33,2021-09-09,Soyuz-2-1V,-,-,Kosmos-2551,EO-MKA No. 1?,-,-,GIK-1,LC43/4,-,-,307.0, ,    -, ,-,0.52,VVKO,OS,-,G,Sat SSO O,spaceflightnow.com,-,-,SSO,Blok-A,Soyuz,RU,Russia,GIK1,,520.0,2021-09-10,294.0,96.34,LLEO/S,Observation,D,Eastern Military,2021
2021-082,2459471.66,2021-09-14,Falcon 9,FT5,125/B1049.10 F126,Starlink-32 (N30),Starlink Group 2-1,V1.5 2-1 (51 Ku),-,VSFBS,SLC4E,-,-,334.0, ,    -, ,-,15.547,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,V,Vandenberg,15147.0,2021-09-16,228.0,70.0,LLEO/I,Communications,B,Starlink,2021
2021-083,2459472.26,2021-09-14,Soyuz-2-1B,Fregat,N 15000-051/123-05,OneWeb L10,OneWeb L10,ST35,-,GIK-5,LC31,-,-,465.0, ,    -, ,-,5.032,STSM,OS,-,CO,Sat LEO D,spaceflightnow.com,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,5032.0,2021-09-16,440.0,87.4,LLEO/P,Communications,B,Commercial,2021
2021-084,2459473.5,2021-09-16,Falcon 9,FT5,128/B1062.3  F127,Inspiration4,Dragon C207.2,-,-,KSC,LC39A,-,-,579.0, ,    -, ,-,13.0,SPX,OS,-,CX,Sat ISS D,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",10700.0,2021-09-17,569.0,51.64,LLEO/I,Other,B,Government,2021
2021-085,2459477.8,2021-09-20,Chang Zheng 7,-,Y4,Tianzhou 3,Tianzhou 3,-,-,WEN,LC201,-,-,386.0, ,    -, ,-,18.6,CALT,OS,-,G,Sat LSS O,nasaspaceflight.com,xinhuanet.com,-,LEO,DF5,Long March 7,CN,China,WEN,"Wenchang Space Center, Hainan",7220.0,2021-09-22,380.0,41.47,LLEO/I,Other,C,Eastern Government,2021
2021-086,2459484.76,2021-09-27,Kuaizhou-1A,-,Y4,Jilin-1 Gaofen 02D,Jilin-1 GF02,-,-,JQ,LC43/95A?,-,-,545.0, ,    -, ,-,0.23,EXPACE,OS,-,CO,Sat SSO P,nasaspaceflight.com,-,-,SSO,DF-21,Kuaizhou,CN,China,JQ,"Jiuquan Space Center, Nei Monggol Zizhiqu, China",230.0,2021-09-28,531.0,97.54,LLEO/S,Observation,B,Chinese Commercial,2021
2021-087,2459484.85,2021-09-27,Chang Zheng 3B,G2,Y81,Shiyan 10,Shiyan 10,-,-,XSC,LC3,-,-,40101.0, ,    -, ,-,4.6,CALT,OS,-,G,Sat MOL O,nasaspaceflight.com,xinhuanet.com,-,HEO,DF5,Long March 3,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",4600.0,2021-10-04,173.0,51.09,GTO,TECH/EW,C,Eastern Government,2021
2021-088,2459485.26,2021-09-27,Atlas V 401,C,AV-092,Landsat 9,Landsat 9,-,-,VSFBS,SLC3E,-,-,686.0, ,    -, ,-,2.91,ULAL,OS,-,CG/G,Sat SSO D,Wire,-,-,SSO,Atlas5,Atlas 5,US,United States,V,Vandenberg,2750.0,2021-09-28,670.0,98.22,LEO/S,Observation,C,Commercial,2021
2021-089,2459492.87,2021-10-05,Soyuz-2-1A,-,Kh15000-047,Soyuz MS-19,Soyuz 11F732A48 No. 749,ISS 65S,-,GIK-5,LC31,-,-,227.0, ,    -, ,-,7.218,FKA,OS,-,G,Sat ISS O,spaceflightnow.com,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,2903.0,2021-10-05,195.0,51.64,LLEO/I,Other,C,Eastern Government,2021
2021-090,2459501.9,2021-10-14,Soyuz-2-1B,Fregat,Kh15000-009/123-14,OneWeb L11,OneWeb L11,ST36,-,VOST,PU1S,-,-,450.0, ,    -, ,-,5.328,STSM,OS,-,CO,Sat LEO D,spaceflightnow.com,-,-,LEO,R-7,Soyuz,RU,Russia,Vostochniy,,5328.0,2021-10-14,442.0,87.39,LLEO/P,Communications,B,Commercial,2021
2021-091,2459501.95,2021-10-14,Chang Zheng 2D,-,Y53,CHASE,CHASE,-,-,TYSC,LC9,-,-,523.0, ,    -, ,-,0.887,SAST,OS,-,G,Sat SSO D,nasaspaceflight.com,xinhuanet.com,-,SSO,DF5,Long March 2,CN,China,TYSC,Taiyuan weixing fashe zhongxin,887.0,2021-10-14,502.0,97.46,LLEO/S,Tech Demo,A,Eastern Government,2021
2021-092,2459503.18,2021-10-15,Chang Zheng 2F,G,Y13,Shenzhou 13,Shenzhou 13,-,-,JQ,LC43/91,-,-,335.0, ,    -, ,-,9.924,CALT,OS,-,G,Sat LSS O,nasaspaceflight.com,xinhuanet.com,-,LEO,DF5,Long March 2,CN,China,JQ,"Jiuquan Space Center, Nei Monggol Zizhiqu, China",3240.0,2021-10-15,328.0,42.41,LLEO/I,Other,C,Eastern Government,2021
2021-093,2459503.9,2021-10-16,Atlas V 401,C,AV-096,Lucy,Lucy,-,-,CC,SLC41,-,-,-40809.0, ,    -, ,-,1.55,ULAL,DS,-,CG/G,Sat EEO E,Wire,-,-,BEO,Atlas5,Atlas 5,US,United States,CC,Canaveral,1550.0,2021-10-16,208.0,31.34,EEO,Other,C,Commercial,2021
2021-F09,2459508.83,2021-10-21,Nuri,-,1,Dummy satellite,-,-,-,NARO,LC2,-,-,,?,    -, ,-,1.5,KARI,OF,S3U,G,Sat SSO O,Wire,-,LOX pressure low,SSO,KSLV2,Nuri,KR,South Korea,NARO,"Naro Space Center (Naro Uju Senteo),Oenaro I,GoHeung, Jeollanam-do,Korea",,,,,,,,Government,2021
2021-094,2459511.56,2021-10-24,Chang Zheng 3B,G2,Y83,Shi Jian 21,Shi Jian 21,-,-,XSC,LC2,-,-,35887.0, ,    -, ,-,5.2,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,xinhuanet.com,-,GTO,DF5,Long March 3,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",5200.0,2021-11-02,35861.0,8.11,GEO/ID,Tech Demo,D,Eastern Military,2021
