,Launch_Date,LEO,SSO,MEO,GEO,HEO,BEO
176,1997-10-15,,,,,,28.63
177,1997-10-24,57.01,,,,,
178,1997-11-08,,,64.74,,,
179,1998-05-09,,,,0.1,,
180,1998-05-13,,98.71,,,,
181,1999-04-09,,,,29.29,,
182,1999-04-30,,,,28.2,,
183,1999-05-22,63.44,,,,,
184,1999-06-20,,98.62,,,,
185,1999-12-12,,98.9,,,,
186,2000-05-08,,,,2.9,,
187,2000-08-17,68.0,,,,,
188,2000-09-21,,98.79,,,,
189,2001-02-27,,,,4.5,,
190,2001-08-06,,,,2.9,,
191,2001-10-05,,97.8,,,,
192,2002-01-16,,,,1.7,,
193,2002-06-24,,98.78,,,,
194,2003-01-06,,98.72,,,,
195,2003-04-08,,,,4.45,,
196,2003-09-09,,,,2.0,,
197,2003-10-18,,98.93,,,,
198,2004-02-14,,,,0.68,,
199,2005-04-30,57.01,,,,,
200,2005-10-19,,97.88,,,,
