,Launch_Date,LEO,SSO,MEO,GEO,HEO,BEO
168,1994-05-03,,,,,1232.0,
169,1994-08-27,,,,4500.0,,
170,1994-12-22,,,,2360.0,,
171,1995-05-14,,,,5000.0,,
172,1995-07-10,,,,,3000.0,
173,1995-11-06,,,,4500.0,,
174,1995-12-05,,13500.0,,,,
175,1996-04-24,,,,4500.0,,
176,1996-05-12,4254.0,,,,,
177,1996-07-03,5852.0,,,,,
178,1996-12-20,,13500.0,,,,
179,1997-02-23,,,,2360.0,,
180,1997-04-04,,749.0,,,,
181,1997-10-15,,,,,,5254.0
182,1997-10-24,9000.0,,,,,
183,1997-11-08,,,3000.0,,,
184,1998-05-09,,,,5000.0,,
185,1998-05-13,,1412.0,,,,
186,1999-04-09,,,,2360.0,,
187,1999-04-30,,,,4500.0,,
188,1999-05-22,10000.0,,,,,
189,1999-06-20,,970.0,,,,
190,1999-12-12,,1082.0,,,,
191,2000-05-08,,,,2360.0,,
192,2000-08-17,9000.0,,,,,
193,2000-09-21,,1403.0,,,,
194,2001-02-27,,,,4500.0,,
195,2001-08-06,,,,2360.0,,
196,2001-10-05,,14000.0,,,,
197,2002-01-16,,,,4500.0,,
198,2002-06-24,,1403.0,,,,
199,2003-01-06,,827.0,,,,
200,2003-04-08,,,,4500.0,,
201,2003-09-09,,,,5000.0,,
202,2003-10-18,,1145.0,,,,
203,2004-02-14,,,,2360.0,,
204,2005-04-30,9000.0,,,,,
205,2005-10-19,,14000.0,,,,
