Launch_Date,LEO,SSO,MEO,GEO,HEO,BEO
2000-05-08,,,,35970.0,,
2000-08-17,677.0,,,,,
2000-09-21,,863.0,,,,
2001-02-27,,,,35768.0,,
2001-08-06,,,,35780.0,,
2001-10-05,,1041.0,,,,
2002-01-16,,,,35815.0,,
2002-06-24,,822.0,,,,
2003-01-06,,846.0,,,,
2003-04-08,,,,35736.0,,
2003-09-09,,,,35800.0,,
2003-10-18,,852.0,,,,
2004-02-14,,,,36105.0,,
2005-04-30,718.0,,,,,
2005-10-19,,1050.0,,,,
