JCAT,Satcat,Launch_Tag,Piece,Type,Name,PLName,Launch_Date,Parent,Separation_Date,Primary,Decay_Date,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,Orbit_Canonical_Date,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames,Simple_Orbit,Country,Payload_Name,Payload_Program,Payload_Class,Payload_Category,Payload_Discipline,Payload_Result,Payload_Comment,Simple_Payload_Category,LV_Type,Agency,Launch_Site,Launch_Pad,Launch_Vehicle_Family,Launch_Vehicle_Simplified,Launch_Site_Parent,Launch_Site_Name,Launch_State,Launch_Country,Launch_Year
S27843,27843,2003-031,2003-031D,P           ,MOST,MOST,2003-06-30,S27840,2003-06-30,Earth,2014-10-01,N,-,CSA,CA,DYN,MOST,-,60.0,     60  ,60.0,   0.3  ,0.7,    0.7  ,0.0,2003 Jul  7,818.0,     832 ,98.72,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,MOST,CSA,C,AST,OA*,S,Astroseismology,Observation,Rokot,-,GIK-1,LC133/3,UR-100N,Rokot,Plesetsk,Plesetsk,RU,Russia,2003
S27847,27847,2003-031,2003-031H,P           ,Can X-1,Can X-1,2003-06-30,S27840,2003-06-30,Earth,,O,-,UTIAS,CA,UTIAS,Cubesat 1U,-,1.0,      1  ,1.0,   0.1  ,0.1,    0.1  ,0.0,2003 Jul  9,817.0,     829 ,98.73,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,CanX-1,CanX,A,TECH,-,F,-,Tech Demo,Rokot,-,GIK-1,LC133/3,UR-100N,Rokot,Plesetsk,Plesetsk,RU,Russia,2003
S27858,27858,2003-036,2003-036A,P           ,SCISAT-1,SCISAT-1,2003-08-13,S27859,2003-08-13,Earth,,O,-,CSA,CA,BRIS,MAC-100,-,150.0,    150  ,150.0,   0.6 ?,1.1,    1.1  ,0.0,2003 Aug 20,641.0,     654 ,73.94,LEO/I,-,,0.0,,0.0,,0.0,,,,,nan,Canada,SciSat,CSA,C,EOSCI,ATM,S,Fourier transform spectrometer,EOSCI,Pegasus XL,-,V,RW30/12,Pegasus,Pegasus,Vandenberg,Vandenberg,US,United States,2003
S28378,28378,2004-027,2004-027A,P           ,Anik F2,Anik F2,2004-07-18,S28379,2004-07-18,Earth,,O,-,TCAN,CA,BOES,BSS-702HP,R-4D-14-350,5965.0,   3700  ,5965.0,   6.2  ,3.5,   45.6  ,0.0,2004 Sep 16,35785.0,   35786 ,0.05,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik F-2,Anik F,B,COM,-,S,-,Communications,Ariane 5G+,-,CSG,ELA3,Ariane5,Ariane 5,Kourou,"Centre Spatial Guyanais, Kourou, Guyane Francaise",GUF,French Guiana,2004
S28868,28868,2005-036,2005-036A,P           ,Anik F1R,Anik F1R,2005-09-08,S28869,2005-09-09,Earth,,O,-,TCAN,CA,EADSB,Eurostar 3000,R-4D-15-375,4500.0,   2000 ?,4500.0,   4.8  ,2.4,   35.0  ,0.0,2005 Nov  8,35777.0,   35795 ,0.04,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik F1R,Anik F,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC200/39,Proton,Proton,Baykonur,Baykonur,RU,Russia,2005
S31102,31102,2007-009,2007-009A,P           ,Anik F3,Anik F3,2007-04-09,S31104,2007-04-10,Earth,,O,-,TCAN,CA,EADSB,Eurostar 3000,R-4D-15-375,4640.0,   2000 ?,4640.0,   4.8  ,2.4,   35.0  ,0.0,2007 Apr 17,35452.0,   35790 ,0.09,GEO/D,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik F3,Anik F,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC200/39,Proton,Proton,Baykonur,Baykonur,RU,Russia,2007
S32382,32382,2007-061,2007-061A,P           ,Radarsat-2,Radarsat-2,2007-12-14,A07320,2007-12-14,Earth,,O,-,CSA,CA,THALA,Prima,AOCS,2300.0,   2200 ?,2300.0,   3.2  ,1.3,   15.0  ,0.0,2007 Dec 16,791.0,     798 ,98.62,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,RADARSAT-2,Radarsat,C,IMG-R,-,S,-,IMG-R,Soyuz-FG,-,GIK-5,LC31,R-7,Soyuz,Baykonur,Baykonur,RU,Russia,2007
S32784,32784,2008-021,2008-021B,P           ,NTS,CanX-6,2008-04-28,S32792,2008-04-28,Earth,,O,-,UTIAS/COMDEV,CA,UTIAS,GNB,-,6.0,      6  ,6.0,   0.2  ,0.2,    1.0 ?,0.0,2008 May  2,616.0,     636 ,98.0,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,CanX-6,CanX,A,COM,-,S,-,Communications,PSLV,-,SHAR,SLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2008
S32790,32790,2008-021,2008-021H,P           ,CanX-2,CanX-2,2008-04-28,S32792,2008-04-28,Earth,,O,-,UTIAS,CA,UTIAS,Cubesat 3U,-,3.0,      3  ,3.0,   0.3  ,0.1,    0.3  ,0.0,2008 May  2,614.0,     634 ,97.99,LEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,CanX-2,CanX,A,TECH,-,S,-,Tech Demo,PSLV,-,SHAR,SLP,PSLV,PSLV,Sriharikota,"Satish Dhawan Space Ctr, Sriharikota, Andhra Pradesh, India",IN,India,2008
S33373,33373,2008-044,2008-044A,P           ,Nimiq 4,Nimiq 4,2008-09-19,S33375,2008-09-20,Earth,,O,-,TCANL,CA,ASTT,Eurostar 3000,R-4D-15-375,4850.0,   2000 ?,4850.0,   5.8 ?,0.0,   39.0  ,0.0,2008 Sep 26,35705.0,   35789 ,0.03,GEO/D,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Nimiq-4,Nimiq,B,COM,-,S,-,Communications,Proton-M/Briz-M,-,GIK-5,LC200/39,Proton,Proton,Baykonur,Baykonur,RU,Russia,2008
