Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1992-060,2448876.46,1992-09-10,Ariane 44LP,44LP+,V53 L425a,Hisp. 1A/Satcom C3,Hispasat 1A,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,3.769,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2944.0,1992-10-16,35778.0,0.06,GEO/S,Communications,B,Commercial
1992-072,2448923.51,1992-10-28,Ariane 42P,42P+,V54 L426a,Galaxy 7,Galaxy VII,-,-,CSG,ELA2,-,-,35790.0, ,    -, ,-,2.968,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2968.0,1992-11-28,35782.0,0.1,GEO/S,Communications,B,Commercial
1992-084,2448958.45,1992-12-01,Ariane 42P,42P+,V55 L427a,Superbird A1,Superbird A1,-,-,CSG,ELA2,-,-,35798.0, ,    -, ,-,2.78,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2780.0,1993-01-01,35774.0,0.06,GEO/S,Communications,B,Commercial
1993-031,2449119.54,1993-05-12,Ariane 42L,42L,V56 L428c,Astra 1C/Arsene,Astra 1C,-,-,CSG,ELA2,-,-,35840.0, ,    -, ,-,3.004,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2877.0,1993-06-26,35729.0,0.01,GEO/S,Communications,B,Commercial
1993-039,2449163.51,1993-06-25,Ariane 42P,42P+,V57 L430b,Galaxy 4H,Galaxy IVH,-,-,CSG,ELA2,-,-,35784.0, ,    -, ,-,2.988,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2988.0,1993-10-21,35531.0,0.33,GEO/D,Communications,B,Commercial
1993-048,2449191.46,1993-07-22,Ariane 44L,44L+,V58 L429c,Hisp. 1B/Insat 2B,Hispasat 1B,-,-,CSG,ELA2,-,-,35797.0, ,    -, ,-,4.507,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4137.0,1993-10-03,35777.0,0.04,GEO/S,Communications,B,Commercial
1993-061,2449256.57,1993-09-26,Ariane 40,40,V59 L431,SPOT 3/ASAP 4/Stella,SPOT 3,-,-,CSG,ELA2,-,-,826.0, ,    -, ,-,2.142,AE,OS,-,CO/OG+C,Sat SSO O,CNES32,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2122.0,1993-10-31,824.0,98.74,LEO/S,Observation,C,Government
1993-066,2449282.78,1993-10-22,Ariane 44LP,44LP,V60 L425a?,Intelsat 701,INTELSAT 701,-,-,CSG,ELA2,-,-,35916.0, ,    -, ,-,3.65,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3650.0,1993-11-29,35657.0,0.03,GEO/S,Communications,C,Government
1993-073,2449311.55,1993-11-20,Ariane 44LP,44LP+,V61 L433a,Solid. 1/Meteosat 6,Solidaridad 1,-,-,CSG,ELA2,-,-,35817.0, ,    -, ,-,3.658,AE,OS,-,CO/G+C,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3092.0,1993-12-23,35755.0,0.07,GEO/S,Communications,B,Commercial
1993-078,2449339.56,1993-12-18,Ariane 44L,44L+,V62 L434a,DBS 1/Thaicom 1,DBS 1,-,-,CSG,ELA2,-,-,35801.0, ,    -, ,-,4.31,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3456.0,1994-01-18,35771.0,0.02,GEO/S,Communications,B,Commercial
1994-F01,2449377.4,1994-01-24,Ariane 44LP,44LP+,V63 L435b,Eut. 2F5/Turksat 1A,Eutelsat 2 F5,-,-,CSG,ELA2,-,-,220.0, ,    -, ,-,3.663,AE,OF,S3P,CO,Sat GTO O 1,CNES32,-,Turbopump failed,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,,,,,,,,Commercial
1994-034,2449520.8,1994-06-17,Ariane 44LP,44LP+,V64 L436,Intelsat 702/ASAP 5,INTELSAT 702,-,-,CSG,ELA2,-,-,35836.0, ,    -, ,-,3.798,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3798.0,1994-07-18,35738.0,0.04,GEO/S,Communications,C,Government
1994-040,2449542.46,1994-07-08,Ariane 44L,44L+,V65 L437b,BS-3N/PAS 2,Panamsat K1,-,-,CSG,ELA2,-,-,35943.0, ,    -, ,-,4.33,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3587.0,1994-08-08,35633.0,0.03,GEO/S,Communications,B,Commercial
1994-049,2449575.46,1994-08-10,Ariane 44LP,44LP+,V66 L438a,Turksat 1B/Bras. B1,Brasilsat B1,-,-,CSG,ELA2,-,-,35876.0, ,    -, ,-,3.744,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3544.0,1994-09-10,35789.0,0.85,GEO/D,Communications,C,Commercial
1994-058,2449604.52,1994-09-09,Ariane 42L,42L+,V67 L429a?,Telstar 402,Telstar 402,-,-,CSG,ELA2,-,-,35602.0, ,    -, ,-,3.331,AE,OS,-,CO,Sat GTO D,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3331.0,1994-10-09,206.0,6.64,GTO,Communications,B,Commercial
1994-065,2449633.55,1994-10-08,Ariane 44L,44L+,V68 L440,Thaicom 2/Solid. 2,Solidaridad 2,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,4.226,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3372.0,1994-11-15,35777.0,0.05,GEO/S,Communications,C,Commercial
1994-070,2449657.53,1994-11-01,Ariane 42P,42P+,V69 L441,Astra 1D,Astra 1D,-,-,CSG,ELA2,-,-,35821.0, ,    -, ,-,2.924,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2924.0,1994-12-13,35742.0,0.08,GEO/S,Communications,B,Commercial
1994-F04,2449688.46,1994-12-01,Ariane 42P,42P-3,V70 L442a,PAS 3,Panamsat K2,-,-,CSG,ELA2,-,-,100.0, ,    -, ,-,2.985,AE,OF,S3P,CO,Sat GTO O,CNES32,-,FOD in gas generator,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,,,,,,,,Commercial
1995-016,2449805.47,1995-03-28,Ariane 44LP,44LP+,V71 L443a,Hot Bird 1/Bras. B2,Brasilsat B2,-,-,CSG,ELA2,-,-,35805.0, ,    -, ,-,3.758,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3558.0,1995-04-28,35768.0,0.08,GEO/S,Communications,C,Commercial
1995-021,2449828.57,1995-04-21,Ariane 40,40+,V72 L444,ERS 2,ERS-2,-,-,CSG,ELA2,-,-,785.0, ,    -, ,-,2.7,AE,OS,-,CO/G,Sat SSO O,CNES32,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2700.0,1995-05-21,783.0,98.55,LEO/S,IMG-R/SCI,C,Commercial
1995-023,2449854.77,1995-05-17,Ariane 44LP,44LP-3,V73 L445,Intelsat 706,INTELSAT 706,-,-,CSG,ELA2,-,-,35842.0, ,    -, ,-,4.18,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4180.0,1995-06-25,35725.0,0.01,GEO/S,Communications,C,Government
1995-029,2449878.52,1995-06-10,Ariane 42P,42P-3,V74 L446b,DBS 3,DBS 3,-,-,CSG,ELA2,-,-,35809.0, ,    -, ,-,2.934,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2934.0,1995-07-15,35762.0,0.08,GEO/S,Communications,B,Commercial
1995-033,2449906.18,1995-07-07,Ariane 40,40-3,V75 L447,Helios 1A/ASAP 6,Helios 1A,-,-,CSG,ELA2,-,-,681.0, ,    -, ,-,2.634,AE,OS,-,CO/G,Sat SSO O,CNES32,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2634.0,1995-08-06,679.0,98.09,LEO/S,Observation,D,Military
1995-040,2449933.46,1995-08-03,Ariane 42L,42L-3,V76 L448b,PAS 4,Panamsat K3,-,-,CSG,ELA2,-,-,35783.0, ,    -, ,-,3.043,AE,OS,-,CO,Sat GTO O,AWST950807-17,CNES32,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3043.0,1995-09-21,35726.0,0.11,GEO/D,Communications,B,Commercial
1995-044,2449958.78,1995-08-29,Ariane 44P,44P-3,V77 L449b,N-Star a,N-STAR a,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,3.41,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3410.0,1995-10-04,35780.0,0.02,GEO/S,Communications,B,Commercial
1995-049,2449984.5,1995-09-24,Ariane 42L,42L-3,V78 L450b,Telstar 402R,Telstar 402R,-,-,CSG,ELA2,-,-,35814.0, ,    -, ,-,3.41,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3410.0,1995-10-24,35758.0,0.16,GEO/S,Communications,B,Commercial
1995-055,2450009.53,1995-10-19,Ariane 42L,42L-3,V79 L451c,Astra 1E,Astra 1E,-,-,CSG,ELA2,-,-,35793.0, ,    -, ,-,3.01,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3010.0,1995-12-06,35780.0,0.01,GEO/S,Communications,B,Commercial
1995-062,2450038.56,1995-11-17,Ariane 44P,44P-3,V80 L452b,ISO,ISO,-,-,CSG,ELA2,-,-,70504.0, ,    -, ,-,2.558,AE,OS,-,CO/G,Sat STO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2498.0,1995-12-17,1110.0,5.06,GEO/NS,Observation,C,Commercial
1995-067,2450058.47,1995-12-06,Ariane 44L,44L-3,V81 L453,Insat 2C/Telecom 2C,Telecom 2C,-,-,CSG,ELA2,-,-,35793.0, ,    -, ,-,4.703,AE,OS,-,CO/G+OG,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4333.0,1996-01-09,35777.0,0.1,GEO/S,Communications,C,Government
1996-002,2450095.47,1996-01-12,Ariane 44L,44L-3,V82 L454,Measat 1/PAS 3R,Panamsat K4,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,4.738,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3738.0,1996-02-11,35774.0,0.07,GEO/S,Communications,B,Commercial
1996-007,2450118.81,1996-02-05,Ariane 44P,44P-3,V83 L455,N-Star b,N-Star b,-,-,CSG,ELA2,-,-,36085.0, ,    -, ,-,3.42,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3420.0,1996-03-06,35489.0,0.05,GEO/S,Communications,B,Commercial
1996-015,2450156.8,1996-03-14,Ariane 44LP,44LP-3,V84 L456,Intelsat 707,INTELSAT 707,-,-,CSG,ELA2,-,-,35791.0, ,    -, ,-,4.18,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4180.0,1996-04-16,35784.0,0.05,GEO/S,Communications,C,Government
1996-022,2450194.44,1996-04-20,Ariane 42P,42P-3,V85 L457,MSAT-1,MSAT-1,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,2.855,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2855.0,1996-05-24,35776.0,0.05,GEO/S,Communications,B,Commercial
1996-030,2450219.58,1996-05-16,Ariane 44L,44L-3,V86 L458a,Palapa C2/Amos 1,Palapa C2,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,4.355,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3985.0,1996-06-16,35785.0,0.07,GEO/S,Communications,B,Commercial
1996-F03,2450239.02,1996-06-04,Ariane 5G,-,V88  (501),Cluster,Cluster F1-F4,-,-,CSG,ELA3,-,-,4.0, ,    -, ,-,4.8,ESA,OF,S1G,G,Sat GTO SO,ESAPR,CNES32,Software error,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,,,,,,,,Government
1996-035,2450249.79,1996-06-15,Ariane 44P,44P-3,V87 L459a,Intelsat 709,INTELSAT 709,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,3.42,AE,OS,-,CO/OG,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3420.0,1996-07-15,35779.0,0.03,GEO/S,Communications,C,Government
1996-040,2450274.43,1996-07-09,Ariane 44L,44L-3,V89 L460a,Turksat 1C/Arab. 2A,Arabsat 2A,-,-,CSG,ELA2,-,-,35791.0, ,    -, ,-,4.76,AE,OS,-,CO,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4360.0,1996-08-09,35779.0,0.05,GEO/S,Communications,B,Commercial
1996-044,2450304.45,1996-08-08,Ariane 44L,44L-3,V90 L461a,Italsat 2/Telecom 2D,Italsat F2,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,4.65,AE,OS,-,CO/G,Sat GTO O 1,PR/AE960809,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4250.0,1996-09-07,34928.0,0.08,GEO/D,Communications,C,Commercial
1996-055,2450337.5,1996-09-11,Ariane 42P,42P-3,V91 L462,Echostar 2,Echostar II,-,-,CSG,ELA2,-,-,35809.0, ,    -, ,-,2.865,AE,OS,-,CO,Sat GTO O,PC/Ransom960912,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2865.0,1996-10-25,35771.0,0.0,GEO/S,Communications,B,Commercial
1996-063,2450401.44,1996-11-13,Ariane 44L,44L-3,V92 L463a,Arab. 2B/Measat 2,Arabsat 2B,-,-,CSG,ELA2,-,-,35724.0, ,    -, ,-,4.573,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3543.0,1996-12-23,35721.0,0.04,GEO/D,Communications,B,Commercial
1997-002,2450479.42,1997-01-30,Ariane 44L,44L-3,V93 L465b,Nahuel 1A/GE-2,GE 2,-,-,CSG,ELA2,-,-,35792.0, ,    -, ,-,4.809,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4439.0,1997-03-07,35770.0,0.03,GEO/S,Communications,B,Commercial
1997-009,2450508.55,1997-03-01,Ariane 44P,44P-3,V94 L464c,Intelsat 801,INTELSAT 801,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,3.42,AE,OS,-,CO/OG,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3420.0,1997-04-04,35770.0,0.02,GEO/S,Communications,C,Government
1997-016,2450555.46,1997-04-16,Ariane 44LP,44LP-3,V95 L467d,Thaicom 3/BSAT 1a,Thaicom 3,-,-,CSG,ELA2,-,-,36116.0, ,    -, ,-,4.256,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3343.0,1997-05-18,35587.0,0.06,GEO/D,Communications,B,Commercial
1997-027,2450603.47,1997-06-03,Ariane 44L,44L-3,V97 L468b,Inmarsat 3/Insat 2D,INMARSAT III F4,-,-,CSG,ELA2,-,-,36028.0, ,    -, ,-,4.448,AE,OS,-,CO/OG+C,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3147.0,1997-07-03,36026.0,0.26,GEO/D,Communications,C,Government
1997-031,2450625.49,1997-06-25,Ariane 44P,44P-3,V96 L466b,Intelsat 802,INTELSAT 802,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,3.435,AE,OS,-,CO/OG,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3435.0,1997-07-25,35774.0,0.03,GEO/S,Communications,C,Government
1997-040,2450668.78,1997-08-08,Ariane 44P,44P-3,V98 L469e,PAS 6,PAS 6,-,-,CSG,ELA2,-,-,35787.0, ,    -, ,-,3.42,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3420.0,1997-09-11,35785.0,0.05,GEO/S,Communications,B,Commercial
1997-049,2450694.43,1997-09-02,Ariane 44LP,44LP-3,V99 L470g,Hot Bird 3/MTP,Eutelsat HB3,-,-,CSG,ELA2,-,-,35877.0, ,    -, ,-,3.806,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3238.0,1997-10-04,35692.0,0.49,GEO/S,Communications,C,Commercial
1997-053,2450715.5,1997-09-23,Ariane 42L,42L-3,V100 L471e,Intelsat 803,INTELSAT 803,-,-,CSG,ELA2,-,-,35800.0, ,    -, ,-,3.455,AE,OS,-,CO/OG,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3455.0,1997-10-23,35773.0,0.09,GEO/S,Communications,C,Government
1997-066,2450752.07,1997-10-30,Ariane 5G,-,V101 (502),Maqsat,TEAMSAT,-,-,CSG,ELA3,-,-,26633.0, ,    -, ,-,6.749,ESA,OS75,S1G,G,Sat GTO SO,Wire,-,"Roll caused early MECO, low orb",GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,1925.0,1997-12-01,530.0,7.86,HEO,Tech Demo,C,Government
1997-071,2450765.41,1997-11-12,Ariane 44L,44L-3,V102 L472d,Sirius 2/Cakrawarta,Sirius 2,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,4.505,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3638.0,1998-01-04,35783.0,0.04,GEO/S,Communications,B,Commercial
1997-075,2450785.45,1997-12-02,Ariane 44P,44P-3,V103 L473,JCSAT-5/Equator-S,JCSAT 5,-,-,CSG,ELA2,-,-,35788.0, ,    -, ,-,3.269,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3179.0,1998-01-01,35785.0,0.08,GEO/S,Communications,B,Commercial
1997-083,2450804.51,1997-12-22,Ariane 42L,42L-3,V104 L474b,Intelsat 804,INTELSAT 804,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,3.455,AE,OS,-,CO/OG,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3455.0,1998-01-21,35776.0,0.13,GEO/S,Communications,C,Government
1998-006,2450849.48,1998-02-04,Ariane 44LP,44LP-3,V105 L475d,Brasil B3/Inmar 3F5,Brasilsat B3,-,-,CSG,ELA2,-,-,35799.0, ,    -, ,-,3.98,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2744.0,1998-03-24,35784.0,0.01,GEO/S,Communications,C,Commercial
1998-013,2450872.44,1998-02-27,Ariane 42P,42P-3,V106 L476c,Hot Bird 4,Eutelsat HB4,-,-,CSG,ELA2,-,-,35809.0, ,    -, ,-,2.885,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2885.0,1998-03-31,35758.0,0.03,GEO/S,Communications,C,Commercial
1998-017,2450896.57,1998-03-24,Ariane 40,40-3,V107 L477b,SPOT 4,SPOT-4,-,-,CSG,ELA2,-,-,825.0, ,    -, ,-,2.775,AE,OS,-,CO/G,Sat SSO O,Wire,-,-,SSO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2755.0,1998-04-23,824.0,98.74,LEO/S,Observation,C,Commercial
1998-024,2450932.45,1998-04-28,Ariane 44P,44P-3,V108 L478b,Nilesat 101/BSAT 1b,Nilesat 101,-,-,CSG,ELA2,-,-,35793.0, ,    -, ,-,3.44,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2527.0,1998-06-17,35779.0,0.02,GEO/S,Communications,C,Commercial
1998-049,2451051.46,1998-08-25,Ariane 44P,44P-3,V109 L479c,ST-1,Singapore-Taiwan 1,-,-,CSG,ELA2,-,-,35817.0, ,    -, ,-,3.255,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3255.0,1998-09-24,35755.0,0.02,GEO/S,Communications,B,Commercial
1998-052,2451072.77,1998-09-16,Ariane 44LP,44LP-3,V110 L480f,PAS 7,PAS 7,-,-,CSG,ELA2,-,-,35796.0, ,    -, ,-,3.838,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3838.0,1998-10-17,35777.0,0.04,GEO/S,Communications,B,Commercial
1998-056,2451092.45,1998-10-05,Ariane 44L,44L-3,V111 L481f,Eutelsat W2/Sirius 3,Eutelsat W2,-,-,CSG,ELA2,-,-,35752.0, ,    -, ,-,4.755,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3755.0,1998-11-05,35723.0,0.01,GEO/D,Communications,C,Commercial
1998-059,2451108.19,1998-10-21,Ariane 5G,-,V112 (503),ARD/Maqsat-3,Maqsat-3,-,-,CSG,ELA3,-,-,35503.0, ,    -, ,-,8.924,AE,OS,-,CG,Sat GTO SO,Wire,-,-,GTO,Scientific,Ariane5,Ariane 5,GUF,French Guiana,Kourou,,2730.0,1998-11-23,1005.0,7.12,GTO,Tech Demo,C,Commercial
1998-063,2451115.43,1998-10-28,Ariane 44L,44L-3,V113 L482d,Afristar/GE 5,Afristar,-,-,CSG,ELA2,-,-,35802.0, ,    -, ,-,4.858,AE,OS,-,CO,Sat GTO O 1,JCM-P,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4458.0,1998-11-27,35768.0,0.03,GEO/S,Communications,B,Commercial
1998-070,2451153.53,1998-12-06,Ariane 42L,42L-3,V114 L483c,Satmex 5,Satmex 5,-,-,CSG,ELA2,-,-,35805.0, ,    -, ,-,4.135,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,4135.0,1999-01-06,35770.0,0.06,GEO/S,Communications,B,Commercial
1998-075,2451169.55,1998-12-22,Ariane 42L,42L-3,V115 L484d,PAS 6B,PAS 6B,-,-,CSG,ELA2,-,-,35795.0, ,    -, ,-,3.594,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3594.0,1999-01-22,35779.0,0.03,GEO/S,Communications,B,Commercial
1999-009,2451236.45,1999-02-26,Ariane 44L,44L-3,V116 L485,Arabsat 3A/Skynet 4E,Arabsat 3A,-,-,CSG,ELA2,-,-,35797.0, ,    -, ,-,4.598,AE,OS,-,CO/G+C,Sat GTO O 1,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3531.0,1999-03-28,35773.0,0.07,GEO/S,Communications,B,Commercial
1999-016,2451271.42,1999-04-02,Ariane 42P,42P-3,V117 L486b,Insat 2E,Insat 2E,-,-,CSG,ELA2,-,-,35806.0, ,    -, ,-,2.55,AE,OS,-,CO/OG,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2550.0,1999-05-02,35766.0,0.05,GEO/S,Communications,C,Government
1999-042,2451403.45,1999-08-12,Ariane 42P,42P-3,V118 L487f,Telkom 1,Telkom 1,-,-,CSG,ELA2,-,-,35793.0, ,    -, ,-,2.763,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2763.0,1999-09-11,35779.0,0.02,GEO/S,Communications,B,Commercial
1999-046,2451426.44,1999-09-04,Ariane 42P,42P-3,V120 L488d,Koreasat 3,Koreasat 3,-,-,CSG,ELA2,-,-,35792.0, ,    -, ,-,2.8,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,2800.0,1999-10-04,35782.0,0.01,GEO/S,Communications,C,Commercial
1999-052,2451446.77,1999-09-25,Ariane 44LP,44LP-3,V121 L489d,Telstar 7,Telstar 7,-,-,CSG,ELA2,-,-,35798.0, ,    -, ,-,3.79,AE,OS,-,CO,Sat STO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3790.0,1999-10-28,35773.0,0.02,GEO/S,Communications,B,Commercial
1999-059,2451470.77,1999-10-19,Ariane 44LP,44LP-3,V122 L490c,Orion 2,Orion 2,-,-,CSG,ELA2,-,-,35793.0, ,    -, ,-,3.787,AE,OS,-,CO,Sat STO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3787.0,1999-11-18,35777.0,0.04,GEO/S,Communications,B,Commercial
1999-060,2451496.45,1999-11-13,Ariane 44LP,44LP-3,V123 L491a,GE 4,GE 4,-,-,CSG,ELA2,-,-,35985.0, ,    -, ,-,3.903,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Scientific,Ariane,Ariane 4,GUF,French Guiana,Kourou,,3903.0,1999-12-13,35959.0,0.05,GEO/D,Communications,B,Commercial
