Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-2t,0.0,2.783,0.0,0.0,0.0,1.85,0.0
