Launch_Date,Launch_Vehicle_Simplified,Mission,Orbit,Total_Payload_Mass_kg,Launch_Country,Western_Category,Launch_Tag
2023-09-06,H2,XRISM/SLIM,LEO,3400.0,Japan,Government LEO,2023-137
2023-10-06,Atlas 5,KuiperSat-1/2,LEO,1200.0,United States,LEO Constellation,2023-154
2023-10-09,Vega,THEOS-2/TRITON,LEO,725.0,France,Government LEO,2023-155
2023-11-11,Falcon 9,Transporter-9,LEO,2315.125,United States,Small Sat Rideshare,2023-174
2023-12-01,Falcon 9,Korea 425,LEO,1280.65,United States,Small Sat Rideshare,2023-185
2023-12-22,Firefly Alpha,Tantrum,LEO,250.0,United States,Small Sat,2023-202
2023-12-24,Falcon 9,SARah-2/3,LEO,3600.0,United States,Military LEO,2023-204
2023-12-29,Falcon Heavy,X-37B No. 2/USSF-52,LEO,5000.0,United States,Military LEO,2023-210
2024-01-01,PSLV,XPoSAT,LEO,519.0,India,Government LEO,2024-001
2024-01-12,H2,IGS O-8,LEO,1500.0,Japan,Military LEO,2024-010
2024-02-08,Falcon 9,PACE,LEO,1700.0,United States,Government LEO,2024-025
2024-02-17,H3,VEP-4,LEO,2975.0,Japan,Government LEO,2024-032
2024-03-04,Falcon 9,Transporter-10,LEO,3632.3,United States,Small Sat Rideshare,2024-043
2024-04-07,Falcon 9,Bandwagon-1,LEO,1348.0,United States,Military LEO,2024-066
2024-04-11,Falcon 9,USSF-62,LEO,1200.0,United States,Military LEO,2024-070
2024-04-28,Falcon 9,Galileo L12,MEO,1466.0,United States,Government non-LEO,2024-079
2024-05-02,Falcon 9,Maxar 1,LEO,1400.0,United States,Commercial LEO/SSO/MEO,2024-081
2024-05-28,Falcon 9,EarthCARE,LEO,2200.0,United States,Government LEO,2024-101
2024-07-01,H3,ALOS 4,LEO,2900.0,Japan,Government LEO,2024-123
2024-07-09,Ariane 6,Cubesats,LEO,1660.0,France,Government LEO,2024-128
2024-08-15,Falcon 9,Maxar-2,LEO,1400.0,United States,Commercial LEO/SSO/MEO,2024-146
2024-08-16,Falcon 9,Transporter-11,LEO,2417.388,United States,Small Sat Rideshare,2024-149
2024-09-05,Vega,Sentinel-2C,LEO,1143.0,France,Government LEO,2024-157
2024-09-17,Falcon 9,Galileo L13,MEO,1466.0,United States,Government non-LEO,2024-167
2024-09-26,H2,IGS O-9,SSO,1500.0,Japan,Military LEO,2024-176
2024-10-04,Vulcan,CERT-2,LEO,1500.0,United States,Commercial LEO/SSO/MEO,2024-179
2024-10-20,Falcon 9,OneWeb L20,LEO,2960.0,United States,LEO Constellation,2024-188
2024-11-30,Falcon 9,NRO St B2/NRO PA05,LEO,1600.0,United States,Military LEO,2024-225
2024-12-05,PSLV,PROBA-3,GTO,540.0,India,Government non-LEO,2024-233
2024-12-05,Vega,Sentinel-1C,SSO,2157.0,France,Government LEO,2024-235
2024-12-21,Falcon 9,Bandwagon-2,LEO,1520.25,United States,Small Sat Rideshare,2024-247
2024-12-30,PSLV,SPADEX,LEO,490.0,India,Government LEO,2024-253
2025-01-14,Falcon 9,Transporter-12,LEO,3696.6,United States,Small Sat Rideshare,2025-009
2025-02-04,Falcon 9,Maxar-3,LEO,1400.0,United States,Commercial LEO/SSO/MEO,2025-025
2025-03-06,Ariane 6,CSO 3,SSO,3562.0,France,Military LEO,2025-044
2025-03-12,Falcon 9,SPHEREx,LEO,758.0,United States,Government LEO,2025-047
2025-03-15,Falcon 9,Transporter-13,LEO,3159.2,United States,Small Sat Rideshare,2025-052
2025-03-24,Falcon 9,INTRUDER?,LEO,1000.0,United States,Military LEO,2025-060
