Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2024-006,2460317.8,2024-01-08,Vulcan Centaur VC2S,-,V-001,Peregrine,CERT-1,-,-,CC,SLC41,-,-,381617.0, ,    -, ,-,1.287,ULAD,DS,-,C,Sat EEO O,Wire,-,-,BEO,Scientific,Vulcan,Vulcan,US,United States,Canaveral,Canaveral,1283.0,2024-01-09,498.0,30.11,CLO,Other,B,Commercial
2024-179,2460587.98,2024-10-04,Vulcan Centaur VC2S,-,V-002,CERT-2,CERT-2,-,-,CC,SLC41,-,-,-237885.0, ,    -, ,-,1.0,ULAD,DS,-,C,Sat EEO O,Wire,-,-,BEO,Scientific,Vulcan,Vulcan,US,United States,Canaveral,Canaveral,1500.0,2024-10-04,735.0,26.7,EEO,Tech Demo,B,Commercial
2025-173,2460900.54,2025-08-13,Vulcan Centaur VC4S,-,V-003,USSF-106,NTS-3/GSSAP?,-,-,CC,SLC41,-,-,35650.0, ,    -, ,-,1.0,ULAD,OS,-,C,Sat GEO O,Wire,-,-,GEO,Scientific,Vulcan,Vulcan,US,United States,Canaveral,Canaveral,1850.0,2025-12-10,35637.0,2.81,GEO/D,Communications,D,Military
