,Commercial_Western_Category,Count
0,Starlink,11656
1,LEO Constellation,1314
2,GEO/MEO Constellation,10
3,Small Sat Rideshare,612
4,Small Sat,154
5,Commercial LEO/SSO/MEO,27
6,Commercial GTO/GEO,49
7,Capsule/Cargo,47
8,High-Energy,14
