JCAT,Satcat,Launch_Tag,Piece,Type,Name,PLName,Launch_Date,Parent,Separation_Date,Primary,Decay_Date,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,Orbit_Canonical_Date,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames,Simple_Orbit,Country,Payload_Name,Payload_Program,Payload_Class,Payload_Category,Payload_Discipline,Payload_Result,Payload_Comment,Simple_Payload_Category,LV_Type,Agency,Launch_Site,Launch_Pad,Launch_Vehicle_Family,Launch_Vehicle_Simplified,Launch_Site_Parent,Launch_Site_Name,Launch_State,Launch_Country,Launch_Year
S47473,47473,2021-006,2021-006BN,P        g  ,Flock 4s-35,Dove 242a,2021-01-24,S47435  C4   ,2021-01-24,Earth,2023-09-22,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,526.0, ,536.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 35,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47474,47474,2021-006,2021-006BP,P        k  ,Flock 4s-8,Dove 2450,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-03-12,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,527.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 8,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47475,47475,2021-006,2021-006BQ,P        g  ,Flock 4s-31,Dove 241b,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-04-22,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,525.0, ,537.0, ,97.5, ,LLEO/S,-,-,SSO,United States,Flock 4s 31,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47477,47477,2021-006,2021-006BS,P        k  ,Flock 4s-34,Dove 2464,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-10-03,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,527.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 34,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47478,47478,2021-006,2021-006BT,P        g  ,Flock 4s-9,Dove 2447,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-11-13,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 9,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47479,47479,2021-006,2021-006BU,P        g  ,Flock 4s-32,Dove 245a,2021-01-24,S47435  C4   ,2021-01-24,Earth,2023-08-01,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,527.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 32,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47490,47490,2021-006,2021-006CF,P        g  ,Flock 4s-39,Dove 2458,2021-01-24,S47435  C1   ,2021-01-24,Earth,2024-08-25,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,523.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 39,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47491,47491,2021-006,2021-006CG,P        g  ,Flock 4s-4,Dove 242b,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-08-19,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,519.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 4,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47492,47492,2021-006,2021-006CH,P        g  ,Flock 4s-17,Dove 2432,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-08-25,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,522.0, ,535.0, ,97.52, ,LLEO/S,-,-,SSO,United States,Flock 4s 17,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47494,47494,2021-006,2021-006CK,P        g  ,Flock 4s-3,Dove 2433,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-02-21,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,519.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 3,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47495,47495,2021-006,2021-006CL,P        g  ,Flock 4s-27,Dove 2457,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-09-04,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,526.0, ,537.0, ,97.5, ,LLEO/S,-,-,SSO,United States,Flock 4s 27,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47496,47496,2021-006,2021-006CM,P        g  ,Flock 4s-18,Dove 2421,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-09-13,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,521.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 18,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47497,47497,2021-006,2021-006CN,P        g  ,Flock 4s-26,Dove 245f,2021-01-24,S47435  C4   ,2021-01-24,Earth,2023-11-03,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,526.0, ,536.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 26,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47498,47498,2021-006,2021-006CP,P        g  ,Flock 4s-2,Dove 2428,2021-01-24,S47435  C4   ,2021-01-24,Earth,2023-11-06,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,519.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 2,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47499,47499,2021-006,2021-006CQ,P        k  ,Flock 4s-40,Dove 2462,2021-01-24,S47435  C1   ,2021-01-24,Earth,2024-04-22,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,523.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 40,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47500,47500,2021-006,2021-006CR,P        g  ,Flock 4s-19,Dove 242d,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-09-14,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 19,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47512,47512,2021-006,2021-006DD,P        g  ,Flock 4s-38,Dove 245e,2021-01-24,S47435  C1   ,2021-01-24,Earth,2024-03-20,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,522.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 38,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47514,47514,2021-006,2021-006DE,P        g  ,Flock 4s-28,Dove 2460,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-10-21,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,515.0, ,534.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 28,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47515,47515,2021-006,2021-006DF,P        g  ,Flock 4s-5,Dove 2423,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-10-18,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 5,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47516,47516,2021-006,2021-006DG,P        g  ,Flock 4s-16,Dove 2434,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-02-24,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 16,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47518,47518,2021-006,2021-006DJ,P        g  ,Flock 4s-6,Dove 2455,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-09-27,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,527.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 6,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47520,47520,2021-006,2021-006DL,P        g  ,Flock 4s-29,Dove 2463,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-03-27,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,527.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 29,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47521,47521,2021-006,2021-006DM,P        g  ,Flock 4s-15,Dove 242f,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-02-24,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 15,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47522,47522,2021-006,2021-006DN,P        g  ,Flock 4s-37,Dove 2429,2021-01-24,S47435  C1   ,2021-01-24,Earth,2024-09-27,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,522.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 37,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47523,47523,2021-006,2021-006DP,P        g  ,Flock 4s-10,Dove 2449,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-09-01,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 10,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47527,47527,2021-006,2021-006DT,P        g  ,Flock 4s-7,Dove 2451,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-08-28,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-27,527.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 7,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47528,47528,2021-006,2021-006DU,P        g  ,Flock 4s-14,Dove 241f,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-08-19,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,520.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 14,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47530,47530,2021-006,2021-006DW,P        g  ,Flock 4s-36,Dove 241d,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-08-22,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,526.0, ,536.0, ,97.52, ,LLEO/S,-,-,SSO,United States,Flock 4s 36,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47539,47539,2021-006,2021-006DZ,P        g  ,Flock 4s-24,Dove 2431,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-08-25,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,521.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 24,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
S47540,47540,2021-006,2021-006EA,P        g  ,Flock 4s-20,Dove 2439,2021-01-24,S47435  C4   ,2021-01-24,Earth,2024-10-30,R,-,PLAN,US,PLAN,Cubesat 3U,-,5.7, ,5.7, ,5.7, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2021-01-26,521.0, ,535.0, ,97.51, ,LLEO/S,-,-,SSO,United States,Flock 4s 20,Flock-4,B,IMG,-,S,-,Observation,Falcon 9,SPX,CC,LC40,Falcon9,Falcon 9,Canaveral,,US,United States,2021
