Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,2,3,2,0,17,16,4
1-2t,4,5,0,0,19,1,0
2-3t,51,11,1,0,8,1,1
3-4t,1,0,0,0,0,0,2
4-5t,5,0,0,0,11,0,0
5-6t,1,0,0,0,0,0,1
6-7t,0,7,0,0,0,0,0
7-8t,2,3,0,0,0,0,0
8-9t,5,16,0,0,0,0,0
9-10t,1,0,0,0,0,0,0
10-11t,0,0,0,0,0,0,0
11-12t,0,0,0,0,0,0,0
12-13t,0,0,0,0,0,0,0
13-14t,0,5,0,0,0,0,0
