Launch_Month,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
Jan 1957,0,0,0,0,0,0,0
Feb 1957,0,0,0,0,0,0,0
Mar 1957,0,0,0,0,0,0,0
Apr 1957,0,0,0,0,0,0,0
May 1957,0,0,0,0,0,0,0
Jun 1957,0,0,0,0,0,0,0
Jul 1957,0,0,0,0,0,0,0
Aug 1957,0,0,0,0,0,0,0
Sep 1957,0,0,0,0,0,0,0
Oct 1957,0,0,0,1,1,0,0
Nov 1957,0,0,0,1,1,0,0
Dec 1957,0,0,0,1,0,0,0
Jan 1958,0,0,0,0,0,0,0
Feb 1958,0,0,0,2,0,0,0
Mar 1958,0,0,0,3,0,0,0
Apr 1958,0,0,0,2,1,0,0
May 1958,0,0,0,2,1,0,0
Jun 1958,0,0,0,1,0,0,0
Jul 1958,0,0,0,2,0,0,0
Aug 1958,0,0,0,7,0,0,0
Sep 1958,0,0,0,2,1,0,0
Oct 1958,0,0,0,3,1,0,0
Nov 1958,0,0,0,1,0,0,0
Dec 1958,0,0,0,2,1,1,0
Jan 1959,0,0,0,2,1,0,0
Feb 1959,0,0,0,1,0,1,0
Mar 1959,0,0,0,1,0,0,0
Apr 1959,0,0,0,1,0,1,0
May 1959,0,0,0,0,0,0,0
Jun 1959,0,0,0,4,1,0,0
Jul 1959,0,0,0,1,0,0,0
Aug 1959,0,0,0,2,0,2,0
Sep 1959,0,0,0,4,1,0,0
Oct 1959,0,0,0,2,1,0,0
Nov 1959,0,0,0,1,0,2,0
Dec 1959,0,0,0,0,0,0,0
Jan 1960,0,0,0,0,0,0,0
Feb 1960,0,0,0,3,0,0,0
Mar 1960,0,0,0,1,0,0,0
Apr 1960,0,0,0,3,2,2,0
May 1960,0,0,0,2,1,1,0
Jun 1960,0,0,0,1,0,1,0
Jul 1960,0,0,0,1,1,0,0
Aug 1960,0,0,0,3,1,2,0
Sep 1960,0,0,0,1,0,1,0
Oct 1960,0,0,0,4,2,1,0
Nov 1960,0,0,0,3,0,1,0
Dec 1960,0,0,0,4,2,2,0
Jan 1961,0,0,0,0,0,1,0
Feb 1961,0,0,0,4,2,3,0
Mar 1961,0,0,0,4,2,0,0
Apr 1961,0,0,0,3,1,1,0
May 1961,0,0,0,1,0,0,0
Jun 1961,0,0,0,2,0,2,0
Jul 1961,0,0,0,2,0,2,0
Aug 1961,0,0,0,5,1,1,0
Sep 1961,0,0,0,2,0,2,0
Oct 1961,0,0,0,2,1,2,0
Nov 1961,0,0,0,4,0,3,0
Dec 1961,0,0,0,2,2,2,0
Jan 1962,0,0,0,3,0,0,0
Feb 1962,0,0,0,2,0,2,0
Mar 1962,0,0,0,2,1,1,0
Apr 1962,0,0,0,3,0,7,3
May 1962,0,0,0,3,0,3,1
Jun 1962,0,0,0,2,1,6,1
Jul 1962,0,0,0,2,0,4,1
Aug 1962,0,0,0,4,3,5,1
Sep 1962,0,0,0,4,2,4,1
Oct 1962,0,0,0,7,3,4,1
Nov 1962,0,0,0,2,2,3,0
Dec 1962,0,0,0,3,0,5,1
Jan 1963,0,0,0,1,1,2,0
Feb 1963,0,0,0,3,1,1,0
Mar 1963,0,0,0,1,0,1,1
Apr 1963,0,0,0,7,3,3,2
May 1963,0,0,0,2,0,4,2
Jun 1963,0,0,0,6,3,5,0
Jul 1963,0,0,0,2,1,4,0
Aug 1963,0,0,0,1,1,3,1
Sep 1963,0,0,0,1,0,3,0
Oct 1963,0,0,0,1,1,4,1
Nov 1963,0,0,0,5,2,3,2
Dec 1963,0,0,0,3,1,4,1
Jan 1964,0,0,0,5,1,2,0
Feb 1964,0,0,0,1,1,4,1
Mar 1964,0,0,0,6,3,1,0
Apr 1964,0,0,0,4,2,5,3
May 1964,0,0,0,1,0,2,1
Jun 1964,0,0,0,4,2,7,2
Jul 1964,0,0,0,2,1,7,3
Aug 1964,0,0,0,3,0,8,5
Sep 1964,0,0,0,3,0,4,2
Oct 1964,0,0,0,7,4,6,2
Nov 1964,0,0,0,5,1,3,0
Dec 1964,0,0,0,6,2,4,0
Jan 1965,0,0,0,2,0,5,2
Feb 1965,0,0,0,6,3,4,2
Mar 1965,0,0,0,5,2,8,3
Apr 1965,0,0,0,3,1,5,2
May 1965,0,0,0,4,1,6,2
Jun 1965,0,0,0,2,1,6,2
Jul 1965,0,0,0,6,3,6,3
Aug 1965,0,0,0,4,0,6,3
Sep 1965,0,0,0,1,0,7,4
Oct 1965,0,0,0,4,1,7,4
Nov 1965,0,0,0,8,4,4,3
Dec 1965,0,0,0,7,2,9,5
Jan 1966,0,0,0,2,1,5,3
Feb 1966,0,0,0,6,3,5,2
Mar 1966,0,0,0,6,4,7,2
Apr 1966,0,0,0,3,0,6,4
May 1966,0,0,0,7,2,5,2
Jun 1966,0,0,0,4,0,8,3
Jul 1966,0,0,0,5,1,7,4
Aug 1966,0,0,0,5,1,6,2
Sep 1966,0,0,0,5,1,5,1
Oct 1966,0,0,0,5,1,5,3
Nov 1966,0,0,0,5,2,6,3
Dec 1966,0,0,0,7,4,6,2
