Payload_Mass,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0,1,0,9,0,3,0
1-2t,1,13,0,7,0,2,0
2-3t,0,11,0,5,0,3,0
3-4t,0,20,0,4,0,5,0
4-5t,0,18,0,3,0,8,0
5-6t,1,14,0,14,0,2,0
6-7t,0,10,0,2,0,1,0
7-8t,0,6,0,4,0,1,0
8-9t,0,7,0,0,0,1,0
9-10t,0,0,0,1,0,1,0
10-11t,2,5,0,24,0,0,0
11-12t,1,0,0,0,0,0,0
12-13t,0,0,0,0,0,0,0
13-14t,9,0,0,0,0,1,0
14-15t,30,0,0,0,0,0,0
15-16t,103,0,0,0,0,3,0
16-17t,108,0,0,0,0,1,0
17-18t,14,0,0,0,0,4,0
