Launch_Month,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
Aug 2012,0,3,0,2,2,0,0
Sep 2012,0,0,0,5,2,2,1
Oct 2012,0,2,0,4,3,2,1
Nov 2012,0,2,0,2,2,3,3
Dec 2012,0,3,0,2,1,3,1
Jan 2013,0,1,0,1,0,2,1
Feb 2013,0,4,0,2,1,0,0
Mar 2013,0,1,0,2,1,1,0
Apr 2013,0,1,0,4,3,1,1
May 2013,0,1,0,3,2,2,0
Jun 2013,0,4,0,2,2,2,2
Jul 2013,0,0,0,5,3,2,1
Aug 2013,0,3,0,1,0,2,0
Sep 2013,0,2,0,6,3,3,2
Oct 2013,0,1,0,0,0,2,2
Nov 2013,0,3,0,4,3,3,2
Dec 2013,0,3,0,4,4,3,2
Jan 2014,0,2,0,2,0,0,0
Feb 2014,0,3,0,1,1,1,0
Mar 2014,0,1,0,2,2,2,2
Apr 2014,0,1,0,5,2,4,1
May 2014,0,2,0,2,2,4,2
Jun 2014,0,1,0,1,0,1,1
Jul 2014,0,4,0,5,4,1,0
Aug 2014,0,3,0,1,1,2,1
Sep 2014,0,2,0,3,2,4,3
Oct 2014,0,2,0,5,3,4,3
Nov 2014,0,1,0,1,1,4,4
Dec 2014,0,5,0,5,4,5,4
Jan 2015,0,1,0,1,0,1,0
Feb 2015,0,1,0,4,1,2,1
Mar 2015,0,4,0,4,3,3,1
Apr 2015,0,2,0,2,1,0,0
May 2015,0,2,0,0,0,1,0
Jun 2015,0,0,0,2,0,3,3
Jul 2015,0,1,0,3,2,3,1
Aug 2015,0,3,0,0,0,2,1
Sep 2015,0,2,0,5,4,5,4
Oct 2015,0,2,0,4,4,2,0
Nov 2015,0,1,0,3,1,4,4
Dec 2015,0,3,0,8,6,3,3
Jan 2016,0,2,0,3,1,0,0
Feb 2016,0,2,0,1,0,4,2
Mar 2016,0,2,0,6,4,2,2
Apr 2016,0,1,0,4,2,0,0
May 2016,0,3,0,1,1,2,2
Jun 2016,0,3,0,1,1,6,3
Jul 2016,0,0,0,3,2,1,0
Aug 2016,0,2,0,4,4,1,0
Sep 2016,0,2,0,3,1,2,0
Oct 2016,0,0,0,4,2,0,0
Nov 2016,0,4,0,4,4,1,1
Dec 2016,0,4,0,6,4,2,0
Jan 2017,0,3,1,1,0,3,1
Feb 2017,0,1,0,2,1,1,0
Mar 2017,0,3,0,1,1,3,0
Apr 2017,0,0,0,4,3,0,0
May 2017,0,3,0,2,0,2,1
Jun 2017,0,4,0,8,3,1,1
Jul 2017,0,1,0,3,3,0,0
Aug 2017,0,2,0,3,0,3,1
Sep 2017,0,3,0,1,1,4,2
Oct 2017,0,6,0,2,2,1,0
Nov 2017,0,1,0,4,3,3,2
Dec 2017,0,3,0,4,3,4,4
Jan 2018,0,3,0,3,2,7,3
Feb 2018,0,1,0,4,3,3,1
Mar 2018,0,4,0,2,2,4,3
Apr 2018,0,1,0,4,1,4,2
May 2018,0,2,0,5,3,0,0
Jun 2018,0,1,0,5,4,2,1
Jul 2018,0,3,0,2,2,3,3
Aug 2018,0,3,0,0,0,1,1
Sep 2018,0,5,1,2,1,1,1
Oct 2018,0,3,1,4,3,4,3
Nov 2018,0,3,0,5,2,5,4
Dec 2018,0,1,0,7,5,7,3
Jan 2019,0,1,0,3,1,3,1
Feb 2019,0,2,0,3,1,0,0
Mar 2019,0,2,1,4,3,2,0
Apr 2019,0,2,0,3,2,2,1
May 2019,1,0,0,4,2,3,2
Jun 2019,0,1,0,3,1,2,1
Jul 2019,0,1,1,7,4,3,3
Aug 2019,0,4,1,4,3,4,2
Sep 2019,0,1,0,3,3,3,3
Oct 2019,0,3,0,0,0,2,2
Nov 2019,1,2,2,4,2,5,4
Dec 2019,0,5,2,7,5,3,2
Jan 2020,2,1,1,2,1,2,1
Feb 2020,1,1,0,5,1,2,1
Mar 2020,1,1,0,2,1,4,3
Apr 2020,1,0,0,3,3,1,0
May 2020,0,3,1,4,3,2,1
Jun 2020,2,0,0,1,1,4,2
Jul 2020,0,3,1,6,5,5,2
Aug 2020,2,2,0,1,0,2,2
Sep 2020,1,2,1,5,4,2,2
Oct 2020,3,1,0,2,1,3,3
Nov 2020,1,2,1,7,3,3,0
Dec 2020,0,3,0,7,4,6,2
Jan 2021,1,4,0,1,1,1,1
Feb 2021,2,1,1,4,2,3,3
Mar 2021,4,2,0,1,1,3,3
Apr 2021,2,2,0,4,3,3,2
May 2021,4,2,0,2,2,2,1
Jun 2021,0,3,0,6,4,5,2
Jul 2021,0,2,0,7,6,2,1
Aug 2021,0,3,1,7,3,2,2
Sep 2021,1,4,1,5,4,1,1
Oct 2021,0,5,1,5,4,1,1
Nov 2021,1,2,1,6,3,7,5
Dec 2021,2,8,2,9,6,4,3
Jan 2022,2,2,0,1,1,3,1
Feb 2022,3,2,0,6,3,2,1
Mar 2022,3,2,0,3,3,4,3
Apr 2022,2,3,0,6,5,3,2
May 2022,4,3,1,4,3,1,1
Jun 2022,1,4,1,7,3,4,2
Jul 2022,5,1,1,5,3,5,2
Aug 2022,5,2,2,6,4,5,3
Sep 2022,4,3,1,1,1,8,7
Oct 2022,3,6,0,9,7,5,5
Nov 2022,0,6,1,7,3,7,6
Dec 2022,2,9,3,4,3,3,3
Jan 2023,3,5,1,4,3,4,1
Feb 2023,4,2,0,5,4,1,1
Mar 2023,4,9,1,5,3,7,6
Apr 2023,2,7,2,2,1,1,0
May 2023,5,7,0,7,5,1,1
Jun 2023,4,4,2,4,3,1,0
Jul 2023,6,6,3,4,2,2,1
Aug 2023,6,5,3,7,4,4,4
Sep 2023,9,4,2,2,1,8,4
Oct 2023,8,1,0,4,2,4,4
Nov 2023,6,3,0,4,3,3,2
Dec 2023,6,8,6,6,4,9,7
Jan 2024,7,7,4,6,2,2,0
Feb 2024,5,5,1,7,4,2,2
Mar 2024,8,5,0,6,4,3,2
Apr 2024,9,1,0,5,3,4,2
May 2024,10,5,3,8,6,3,2
Jun 2024,8,5,1,3,1,2,1
Jul 2024,5,3,1,3,1,2,1
Aug 2024,8,6,1,5,3,2,2
Sep 2024,4,8,3,5,4,6,3
Oct 2024,7,3,0,5,3,5,4
Nov 2024,11,6,2,10,8,3,0
Dec 2024,7,8,3,8,5,7,3
Jan 2025,8,8,2,2,2,4,2
Feb 2025,10,4,0,5,4,1,1
Mar 2025,6,9,3,5,3,7,4
Apr 2025,9,2,0,8,5,7,3
May 2025,15,6,4,2,1,6,5
Jun 2025,2,1,0,0,0,0,0
Jul 2025,0,0,0,0,0,0,0
Aug 2025,0,0,0,0,0,0,0
Sep 2025,0,0,0,0,0,0,0
Oct 2025,0,0,0,0,0,0,0
Nov 2025,0,0,0,0,0,0,0
Dec 2025,0,0,0,0,0,0,0
