Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,1087,374,91,173,24,41,135
1-2t,489,198,61,76,90,265,41
2-3t,1182,104,30,93,117,17,27
3-4t,168,29,34,190,14,9,31
4-5t,54,12,23,152,16,2,5
5-6t,45,6,0,110,1,0,8
6-7t,36,14,1,53,3,0,1
7-8t,169,3,1,21,0,1,0
8-9t,19,19,0,20,0,0,0
9-10t,4,1,0,30,2,0,1
10-11t,33,1,0,3,0,0,7
11-12t,2,0,0,1,0,0,0
12-13t,2,0,0,0,0,0,0
13-14t,6,12,0,0,0,0,0
14-15t,34,0,0,0,0,0,0
15-16t,105,1,0,0,0,0,0
16-17t,110,1,0,0,0,0,0
17-18t,22,0,0,0,0,0,0
