Launch_Month,LEO,SSO,MEO,GTO,GEO,HEO,BEO
Nov 2005,0,0,0,2,0,0,1
Dec 2005,2,0,2,2,0,0,0
Jan 2006,0,1,0,0,0,0,1
Feb 2006,0,1,0,3,0,0,0
Mar 2006,2,0,1,1,0,0,0
Apr 2006,2,3,0,2,0,0,0
May 2006,2,0,0,2,0,0,0
Jun 2006,3,0,0,2,1,1,0
Jul 2006,2,2,0,1,0,1,0
Aug 2006,0,0,0,3,0,0,0
Sep 2006,4,2,1,1,0,0,0
Oct 2006,2,1,0,3,0,0,1
Nov 2006,0,1,1,1,0,0,0
Dec 2006,3,2,1,4,0,1,0
Jan 2007,1,1,0,1,0,0,0
Feb 2007,0,1,0,1,0,1,0
Mar 2007,2,0,0,1,0,0,0
Apr 2007,3,3,1,1,0,0,0
May 2007,2,1,0,3,0,0,0
Jun 2007,6,2,0,0,0,0,0
Jul 2007,0,1,0,2,0,0,0
Aug 2007,2,0,0,1,0,0,1
Sep 2007,2,2,0,2,0,0,2
Oct 2007,3,0,2,3,0,1,0
Nov 2007,0,2,0,2,1,0,0
Dec 2007,1,2,1,2,1,1,0
Jan 2008,1,0,0,1,1,0,0
Feb 2008,2,0,0,1,1,0,0
Mar 2008,2,1,0,3,0,1,0
Apr 2008,2,1,1,3,1,0,0
May 2008,3,1,0,1,0,0,0
Jun 2008,3,0,0,2,1,0,0
Jul 2008,0,2,0,2,0,0,0
Aug 2008,2,1,0,2,0,0,0
Sep 2008,3,2,1,2,0,0,0
Oct 2008,2,3,0,2,0,0,0
Nov 2008,3,1,0,1,0,0,0
Dec 2008,0,2,1,3,0,1,0
Jan 2009,1,1,0,0,1,0,0
Feb 2009,2,2,0,2,2,0,0
Mar 2009,2,1,1,0,0,0,1
Apr 2009,3,1,0,4,0,0,0
May 2009,4,1,0,1,0,1,1
Jun 2009,0,0,0,3,0,0,1
Jul 2009,5,1,0,1,0,0,0
Aug 2009,2,0,1,3,0,0,0
Sep 2009,3,2,0,2,0,0,0
Oct 2009,1,2,0,2,0,0,0
Nov 2009,3,3,0,3,0,0,0
Dec 2009,1,4,1,2,0,0,0
Jan 2010,0,0,0,1,1,0,0
Feb 2010,2,0,0,1,1,0,0
Mar 2010,1,0,1,2,0,0,0
Apr 2010,7,0,0,2,0,0,0
May 2010,1,0,1,1,0,0,1
Jun 2010,6,3,0,3,0,0,0
Jul 2010,0,1,0,2,0,0,0
Aug 2010,0,2,0,2,0,0,0
Sep 2010,3,2,1,2,0,1,0
Oct 2010,3,1,0,3,0,0,1
Nov 2010,1,2,0,3,1,1,0
Dec 2010,2,0,1,4,0,0,0
Jan 2011,2,1,0,0,1,0,0
Feb 2011,3,1,1,0,0,0,0
Mar 2011,1,1,0,1,0,0,0
Apr 2011,3,1,0,2,0,0,0
May 2011,1,0,0,3,0,1,0
Jun 2011,5,1,0,1,0,0,0
Jul 2011,1,3,1,4,0,0,1
Aug 2011,1,3,0,3,0,0,1
Sep 2011,1,1,1,4,1,0,1
Oct 2011,3,1,2,3,0,0,0
Nov 2011,2,3,2,1,0,0,1
Dec 2011,2,3,0,2,1,1,0
Jan 2012,1,1,0,2,0,0,0
Feb 2012,2,0,0,3,0,0,0
Mar 2012,1,0,0,2,1,0,0
Apr 2012,2,2,1,1,0,0,0
May 2012,4,4,0,4,0,0,0
Jun 2012,2,0,0,2,1,0,0
Jul 2012,2,2,0,3,0,0,0
Aug 2012,1,0,0,4,0,0,0
Sep 2012,2,3,1,1,0,0,0
Oct 2012,3,1,2,1,1,0,0
Nov 2012,1,1,0,3,1,1,0
Dec 2012,2,3,0,3,0,0,0
Jan 2013,1,2,0,1,0,0,0
Feb 2013,2,2,0,2,0,0,0
Mar 2013,2,0,0,2,0,0,0
Apr 2013,3,1,1,1,0,0,0
May 2013,1,1,1,3,0,0,0
Jun 2013,3,3,1,1,0,0,0
Jul 2013,1,2,1,3,0,0,0
Aug 2013,1,2,0,3,0,0,0
Sep 2013,6,2,0,2,0,0,1
Oct 2013,1,1,0,1,0,0,0
Nov 2013,4,3,0,1,1,0,1
Dec 2013,3,1,0,3,1,0,2
Jan 2014,1,0,0,3,0,0,0
Feb 2014,2,0,1,2,0,0,0
Mar 2014,1,1,1,1,1,0,0
Apr 2014,4,3,0,2,1,0,0
May 2014,3,1,1,2,1,0,0
Jun 2014,0,2,1,0,0,0,0
Jul 2014,6,2,1,0,1,0,0
Aug 2014,1,2,2,1,0,0,0
Sep 2014,2,3,0,3,1,0,0
Oct 2014,2,2,1,3,1,1,1
Nov 2014,1,4,1,0,0,0,0
Dec 2014,4,3,1,3,2,1,1
Jan 2015,1,1,0,1,0,0,0
Feb 2015,3,2,0,1,0,0,1
Mar 2015,2,2,2,4,1,0,0
Apr 2015,2,0,0,2,0,0,0
May 2015,1,0,0,2,0,0,0
Jun 2015,2,3,0,0,0,0,0
Jul 2015,2,1,2,2,0,0,0
Aug 2015,1,1,0,3,0,0,0
Sep 2015,3,3,2,3,1,0,0
Oct 2015,2,2,1,3,0,0,0
Nov 2015,1,2,0,4,0,1,0
