Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
2010,0,0,0,2,0,0,0
2011,0,0,0,0,0,0,0
2012,0,0,0,2,0,0,0
2013,0,1,0,2,0,0,0
2014,0,4,0,2,0,0,0
2015,0,3,0,4,0,0,0
2016,0,6,0,3,0,0,0
2017,0,10,0,6,0,2,0
2018,0,11,0,6,0,3,0
2019,2,4,0,5,0,0,0
2020,14,1,0,6,0,4,0
2021,17,5,0,8,0,1,0
2022,34,16,0,6,0,4,0
2023,63,19,0,5,0,4,0
2024,89,20,0,13,0,10,0
2025,50,6,0,4,0,8,0
