Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
2000,0,39,0,8,16,11,11
2001,0,21,0,9,14,8,7
2002,0,30,0,11,14,2,8
2003,0,21,0,8,14,11,9
2004,0,20,0,3,14,6,12
2005,0,20,0,4,18,8,6
2006,0,26,0,7,13,10,10
2007,0,22,0,7,14,12,13
2008,0,28,0,6,17,7,11
2009,0,29,0,10,13,14,12
2010,0,22,0,8,17,10,17
2011,0,20,0,10,28,12,14
2012,0,21,0,12,21,10,14
2013,0,24,0,12,22,10,13
2014,0,27,0,11,22,11,21
2015,0,22,0,14,22,11,18
2016,0,25,0,14,26,11,10
2017,0,29,1,15,20,13,12
2018,0,28,2,15,28,16,25
2019,2,17,7,18,27,11,21
2020,14,14,5,18,27,17,19
2021,17,31,7,18,39,9,25
2022,34,33,10,20,39,14,36
2023,63,41,20,19,35,14,31
2024,89,43,19,27,44,19,22
2025,50,21,9,7,15,10,15
